group,target,center_mode,threshold,horizon,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold
PEBBLES,PEBBLES_S,open100,1.5,200,3,36160.0,3780.0,3,128,0.5703125,282.5,197.90625
PEBBLES,PEBBLES_S,open100,2.0,200,3,36160.0,3780.0,3,128,0.5703125,282.5,197.90625
PEBBLES,PEBBLES_S,open100,2.5,200,3,36160.0,3780.0,3,128,0.5703125,282.5,197.90625
PEBBLES,PEBBLES_S,open100,3.0,200,3,36160.0,3780.0,3,128,0.5703125,282.5,197.90625
ROBOT,ROBOT_IRONING,open100,1.5,500,3,24510.0,2130.0,3,36,0.6388888888888888,680.8333333333334,487.3888888888889
ROBOT,ROBOT_IRONING,open100,2.0,500,3,24460.0,860.0,3,29,0.6896551724137931,843.448275862069,482.44827586206895
PANEL,PANEL_2X2,open100,1.5,500,3,22570.0,6260.0,3,51,0.5882352941176471,442.54901960784315,483.8627450980392
ROBOT,ROBOT_IRONING,open100,2.5,500,3,20960.0,940.0,3,21,0.7619047619047619,998.0952380952381,500.0
ROBOT,ROBOT_IRONING,open100,1.5,200,3,20210.0,480.0,3,80,0.625,252.625,197.9
ROBOT,ROBOT_IRONING,open100,2.5,200,3,20190.0,140.0,3,46,0.6304347826086957,438.9130434782609,200.0
PANEL,PANEL_2X2,open100,3.0,500,3,19560.0,1680.0,3,32,0.5625,611.25,472.0
UV_VISOR,UV_VISOR_MAGENTA,open100,2.5,500,3,19410.0,3380.0,3,29,0.5862068965517241,669.3103448275862,464.9655172413793
PANEL,PANEL_2X2,open100,2.5,500,3,17370.0,2440.0,3,39,0.5641025641025641,445.38461538461536,472.6666666666667
UV_VISOR,UV_VISOR_MAGENTA,open100,2.0,500,3,16900.0,1690.0,3,39,0.5897435897435898,433.3333333333333,488.84615384615387
UV_VISOR,UV_VISOR_MAGENTA,open100,2.5,200,3,16330.0,650.0,3,60,0.55,272.1666666666667,194.5
PANEL,PANEL_2X2,open100,2.5,200,3,15590.0,1180.0,3,89,0.5280898876404494,175.1685393258427,196.5056179775281
PANEL,PANEL_2X2,open100,1.5,200,3,13830.0,1410.0,3,118,0.5423728813559322,117.20338983050847,197.9915254237288
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open100,1.5,500,3,13770.0,3330.0,3,32,0.65625,430.3125,492.0625
UV_VISOR,UV_VISOR_MAGENTA,open100,2.0,200,3,13640.0,2700.0,3,88,0.5113636363636364,155.0,196.26136363636363
