product,group,day,obs,avg_mid,avg_spread,avg_book_depth,avg_bid_depth,avg_ask_depth,dominant_quote_size,dominant_quote_size_share,top_quote_sizes,top_bid_size,top_bid_size_share,top_ask_size,top_ask_size_share,symmetric_top_size_share,bid_wall_level1_share,ask_wall_level1_share,bid_wall_price_mode,ask_wall_price_mode,max_volume_price_mode,max_volume_price_share,wall_dev_mean,wall_dev_abs_mean,wall_dev_nonzero_share,popular_dev_abs_mean,popular_dev_nonzero_share,depth_vwap_dev_abs_mean
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,10000,10680.49205,13.6031,99.1411,49.5741,49.567,25.0,0.07278410359455235,"25:0.073,26:0.041,33:0.039",18.0,0.0739,18.0,0.0746,0.9689,0.0053,0.0052,10594.0,10611.0,10594.0,0.0025,0.00055,0.34375,0.0311,211.23989795918368,0.9771,0.24743643317066416
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,10000,11107.8778,14.0854,99.3298,49.6627,49.6671,25.0,0.07333399444664815,"25:0.073,34:0.040,37:0.040",21.0,0.076,21.0,0.0755,0.9664,0.006,0.006,10799.0,10816.0,10820.0,0.0027,0.01335,0.35625,0.0336,176.7391836734694,0.9754,0.2592476769164865
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,10000,12612.2464,15.8498,98.9347,49.4671,49.4676,25.0,0.0742998760842627,"25:0.074,28:0.040,33:0.039",13.0,0.0736,16.0,0.0729,0.965,0.0058,0.0059,12673.0,12693.0,12673.0,0.0027,0.007,0.2378,0.035,171.58913265306123,0.9772,0.19036808385576823
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,10000,10111.9138,12.9228,99.1411,49.5741,49.567,25.0,0.07278410359455235,"25:0.073,26:0.041,33:0.039",18.0,0.0739,18.0,0.0746,0.9689,0.0053,0.0052,10157.0,9818.0,10157.0,0.003,0.0028,0.3294,0.0311,96.95295918367347,0.9739,0.23709812014648032
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,10000,10421.9509,13.2836,99.3298,49.6627,49.6671,25.0,0.07333399444664815,"25:0.073,34:0.040,37:0.040",21.0,0.076,21.0,0.0755,0.9664,0.006,0.006,10373.0,10345.0,10373.0,0.0028,0.01425,0.31785,0.0336,186.9406632653061,0.9769,0.23304135935602335
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,4,10000,10146.12075,12.9461,98.9347,49.4671,49.4676,25.0,0.0742998760842627,"25:0.074,28:0.040,33:0.039",13.0,0.0736,16.0,0.0729,0.965,0.0058,0.0059,10161.0,10165.0,9974.0,0.003,0.0057,0.376,0.035,154.7297448979592,0.9757,0.2700417999487023
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,2,10000,10013.2524,12.8162,99.1411,49.5741,49.567,25.0,0.07278410359455235,"25:0.073,26:0.041,33:0.039",18.0,0.0739,18.0,0.0746,0.9689,0.0053,0.0052,9546.0,9561.0,9561.0,0.0026,0.00155,0.28235,0.0311,195.44545918367348,0.9755,0.20687009904126188
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,3,10000,11615.2732,14.688,99.3298,49.6627,49.6671,25.0,0.07333399444664815,"25:0.073,34:0.040,37:0.040",21.0,0.076,21.0,0.0755,0.9664,0.006,0.006,11336.0,11352.0,11409.0,0.0026,0.01575,0.32185,0.0336,145.86362244897958,0.9752,0.2387576856720447
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,4,10000,10671.49395,13.5659,98.9347,49.4671,49.4676,25.0,0.0742998760842627,"25:0.074,28:0.040,33:0.039",13.0,0.0736,16.0,0.0729,0.965,0.0058,0.0059,10775.0,10792.0,10880.0,0.0021,0.0104,0.3567,0.035,189.45117346938775,0.9774,0.2596035959338238
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,2,10000,11095.64355,14.0921,99.1411,49.5741,49.567,25.0,0.07278410359455235,"25:0.073,26:0.041,33:0.039",18.0,0.0739,18.0,0.0746,0.9689,0.0053,0.0052,11051.0,11082.0,11051.0,0.0023,0.00095,0.31395,0.0311,196.9369387755102,0.9762,0.22967525834366315
