candidate_id,lens,group,target,label,robust_param_count,best_total_pnl,best_min_day_pnl,best_trades,best_center_mode,best_threshold,best_horizon,best_exit_rule,best_slope_mode,best_vol_mode,thresholds_passing,horizons_passing,centers_passing,slope_modes_passing,vol_modes_passing
"integer_combo|PEBBLES|PEBBLES_XS|1,1,-1,0,0",integer_combo,PEBBLES,PEBBLES_XS,1*PEBBLES_XS +1*PEBBLES_S -1*PEBBLES_M,188,57050.0,16240.0,53,raw,1.5,500,fixed,any,any,"1.5,2.0,2.5","100,200,500","expanding,raw,rolling500","any,reverting","any,high_vol,low_vol"
pca1_residual|PEBBLES|PEBBLES_S|k=1,pca1_residual,PEBBLES,PEBBLES_S,PEBBLES_S minus PCA1 reconstruction,172,55680.0,12840.0,29,expanding,1.5,500,fixed,any,any,"1.5,2.0,2.5,3.0","100,200,500","expanding,open100,raw,rolling500","any,reverting","any,high_vol,low_vol"
pca2_residual|PEBBLES|PEBBLES_S|k=2,pca2_residual,PEBBLES,PEBBLES_S,PEBBLES_S minus PCA2 reconstruction,144,60940.0,17330.0,29,expanding,1.5,500,fixed,reverting,any,"1.5,2.0,2.5,3.0","100,200,500","expanding,open100,raw,rolling500","any,reverting","any,high_vol,low_vol"
pca2_residual|TRANSLATOR|TRANSLATOR_VOID_BLUE|k=2,pca2_residual,TRANSLATOR,TRANSLATOR_VOID_BLUE,TRANSLATOR_VOID_BLUE minus PCA2 reconstruction,142,27210.0,7350.0,32,raw,1.5,500,fixed,any,high_vol,"1.5,2.0,2.5,3.0","100,200,500","expanding,open100,raw","any,reverting","any,high_vol,low_vol"
pca2_residual|ROBOT|ROBOT_IRONING|k=2,pca2_residual,ROBOT,ROBOT_IRONING,ROBOT_IRONING minus PCA2 reconstruction,142,24250.0,7100.0,29,raw,2.0,500,fixed,reverting,any,"1.5,2.0,2.5,3.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pca1_residual|TRANSLATOR|TRANSLATOR_VOID_BLUE|k=1,pca1_residual,TRANSLATOR,TRANSLATOR_VOID_BLUE,TRANSLATOR_VOID_BLUE minus PCA1 reconstruction,136,20630.0,6110.0,57,raw,1.5,200,fixed,any,high_vol,"1.5,2.0,2.5,3.0","100,200,500","expanding,open100,raw","any,reverting","any,high_vol,low_vol"
pca1_residual|ROBOT|ROBOT_DISHES|k=1,pca1_residual,ROBOT,ROBOT_DISHES,ROBOT_DISHES minus PCA1 reconstruction,130,16840.0,5000.0,27,open100,1.5,500,fixed,any,any,"1.5,2.0,2.5","100,200,500","expanding,open100,raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|SNACKPACK|SNACKPACK_CHOCOLATE|SNACKPACK_STRAWBERRY,pair_ols,SNACKPACK,SNACKPACK_CHOCOLATE,SNACKPACK_CHOCOLATE ~ SNACKPACK_STRAWBERRY,122,19520.0,3640.0,29,open100,1.5,500,zero_cross,any,any,"1.5,2.0,2.5","100,200,500","expanding,open100,raw,rolling500","any,reverting","any,high_vol,low_vol"
"integer_combo|MICROCHIP|MICROCHIP_OVAL|-1,1,0,0,1",integer_combo,MICROCHIP,MICROCHIP_OVAL,-1*MICROCHIP_CIRCLE +1*MICROCHIP_OVAL +1*MICROCHIP_TRIANGLE,120,49150.0,12200.0,51,raw,1.5,500,fixed,reverting,high_vol,"1.5,2.0,2.5,3.0","100,200,500",raw,"any,reverting","any,high_vol,low_vol"
pca2_residual|SLEEP_POD|SLEEP_POD_POLYESTER|k=2,pca2_residual,SLEEP_POD,SLEEP_POD_POLYESTER,SLEEP_POD_POLYESTER minus PCA2 reconstruction,120,34380.0,9020.0,38,raw,1.5,500,zero_cross,reverting,low_vol,"1.5,2.0,2.5,3.0","100,200,500",raw,"any,reverting","any,high_vol,low_vol"
"basket_1v4|SLEEP_POD|SLEEP_POD_POLYESTER|SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,SLEEP_POD_COTTON",basket_1v4,SLEEP_POD,SLEEP_POD_POLYESTER,SLEEP_POD_POLYESTER ~ other 4,116,38900.0,11800.0,40,raw,1.5,500,zero_cross,any,low_vol,"1.5,2.0,2.5,3.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|SLEEP_POD|SLEEP_POD_POLYESTER|SLEEP_POD_SUEDE,pair_ols,SLEEP_POD,SLEEP_POD_POLYESTER,SLEEP_POD_POLYESTER ~ SLEEP_POD_SUEDE,116,24940.0,7980.0,24,raw,2.0,500,fixed,any,high_vol,"1.5,2.0,2.5,3.0","100,200,500","expanding,raw,rolling500","any,reverting","any,high_vol,low_vol"
pca2_residual|MICROCHIP|MICROCHIP_SQUARE|k=2,pca2_residual,MICROCHIP,MICROCHIP_SQUARE,MICROCHIP_SQUARE minus PCA2 reconstruction,114,58540.0,18040.0,41,raw,1.5,500,fixed,any,any,"1.5,2.0,2.5","100,200,500","expanding,open100,raw,rolling500","any,reverting","any,high_vol,low_vol"
