scope,lens,candidates,robust_candidates,best_candidate_id,best_total_pnl,best_min_day_pnl,best_positive_days,verdict
screen,basket_1v4,50,5,"basket_1v4|SLEEP_POD|SLEEP_POD_POLYESTER|SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,SLEEP_POD_COTTON",30200.0,7160.0,3,kept for sweep
screen,integer_combo,2000,62,"integer_combo|PEBBLES|PEBBLES_XS|1,1,-1,0,0",41590.0,11660.0,3,kept for sweep
screen,pair_ols,200,37,pair_ols|GALAXY_SOUNDS|GALAXY_SOUNDS_SOLAR_FLAMES|GALAXY_SOUNDS_BLACK_HOLES,20080.0,6550.0,3,kept for sweep
screen,pca1_residual,50,10,pca1_residual|SLEEP_POD|SLEEP_POD_POLYESTER|k=1,31890.0,6740.0,3,kept for sweep
screen,pca2_residual,50,8,pca2_residual|ROBOT|ROBOT_IRONING|k=2,23670.0,5500.0,3,kept for sweep
sweep,basket_1v4,14,14,"basket_1v4|SLEEP_POD|SLEEP_POD_POLYESTER|SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,SLEEP_POD_COTTON",38900.0,11800.0,3,candidate-specific
sweep,integer_combo,16,15,"integer_combo|PEBBLES|PEBBLES_XS|1,1,-1,0,0",57050.0,16240.0,3,candidate-specific
sweep,pair_ols,41,39,pair_ols|PEBBLES|PEBBLES_S|PEBBLES_XS,47010.0,12190.0,3,candidate-specific
sweep,pca1_residual,28,28,pca1_residual|SLEEP_POD|SLEEP_POD_POLYESTER|k=1,46850.0,13160.0,3,candidate-specific
sweep,pca2_residual,21,21,pca2_residual|MICROCHIP|MICROCHIP_SQUARE|k=2,58540.0,18040.0,3,candidate-specific
