group,product,quote_mode,side,horizon,days,quote_ticks,trade_fill_count,book_or_trade_fill_count,trade_fill_rate,book_or_trade_fill_rate,mean_edge_if_filled,mean_cross_liq_edge_if_filled,mean_spread_capture_if_filled,mean_adverse_selection_if_filled,ev_per_quote,cross_liq_ev_per_quote,positive_edge_days,positive_cross_liq_days,min_day_edge_if_filled,min_day_cross_liq_edge_if_filled,min_day_ev_per_quote,cap10_edge_per_full_inventory,cap10_cross_liq_edge_per_full_inventory,score
SNACKPACK,SNACKPACK_PISTACHIO,best_touch,sell,1,3,29997,193,289,0.006433976731006434,0.009634296763009633,4.22279792746114,-3.8186528497409324,7.917098445595855,-3.694300518134715,0.02716938360502717,-0.02456912357902457,3,0,3.972972972972973,-4.108108108108108,0.024852485248524854,42.2279792746114,-38.18652849740933,2.5851653386409454
SNACKPACK,SNACKPACK_PISTACHIO,best_touch,buy,1,3,29997,213,306,0.007100710071007101,0.0102010201020102,3.8544600938967135,-4.075117370892019,7.86150234741784,-4.007042253521127,0.02736940360702737,-0.028936226956028935,3,0,3.525,-4.3,0.024452445244524453,38.544600938967136,-40.75117370892019,2.0905954445209773
SNACKPACK,SNACKPACK_PISTACHIO,one_tick_inside,sell,1,3,29997,223,373,0.007434076741007434,0.012434576791012435,3.881165919282511,-4.170403587443946,6.928251121076233,-3.0470852017937218,0.028852885288528852,-0.031003100310031003,3,0,3.673611111111111,-4.430555555555555,0.026452645264526453,38.81165919282511,-41.70403587443946,2.0844929784458266
SNACKPACK,SNACKPACK_VANILLA,best_touch,buy,1,3,29997,196,413,0.006533986732006534,0.013768043471013769,3.813775510204082,-4.668367346938775,8.380102040816327,-4.566326530612245,0.024919158582524917,-0.030503050305030505,3,0,3.734848484848485,-4.712121212121212,0.024652465246524653,38.13775510204082,-46.683673469387756,1.728783422559943
SNACKPACK,SNACKPACK_VANILLA,best_touch,sell,1,3,29997,188,424,0.006267293396006267,0.014134746808014135,3.625,-4.9361702127659575,8.324468085106384,-4.699468085106383,0.02271893856052272,-0.030936426976030936,3,0,3.2241379310344827,-5.5,0.018201820182018203,36.25,-49.361702127659576,1.3841042792222487
SNACKPACK,SNACKPACK_PISTACHIO,one_tick_inside,buy,1,3,29997,235,380,0.007834116745007834,0.012667933460012668,3.2191489361702126,-4.697872340425532,6.878723404255319,-3.6595744680851063,0.02521918858552522,-0.0368036803680368,3,0,2.95,-4.888888888888889,0.02235223522352235,32.191489361702125,-46.97872340425532,1.1224046518126989
SNACKPACK,SNACKPACK_CHOCOLATE,best_touch,buy,1,3,29997,214,499,0.007134046738007134,0.016634996833016634,3.3200934579439254,-4.981308411214953,8.158878504672897,-4.838785046728972,0.023685701903523686,-0.035536887022035536,3,0,2.9285714285714284,-5.3,0.0205020502050205,33.200934579439256,-49.81308411214953,1.066296271371686
SNACKPACK,SNACKPACK_VANILLA,one_tick_inside,buy,1,3,29997,216,551,0.0072007200720072,0.018368503517018367,3.2731481481481484,-5.222222222222222,7.402777777777778,-4.12962962962963,0.02356902356902357,-0.037603760376037604,3,0,3.125,-5.347222222222222,0.0223022302230223,32.73148148148148,-52.22222222222222,0.8977272727272729
SNACKPACK,SNACKPACK_CHOCOLATE,best_touch,sell,1,3,29997,201,508,0.0067006700670067,0.016935026836016935,3.1666666666666665,-5.129353233830845,8.223880597014926,-5.057213930348259,0.021218788545521217,-0.03437010367703437,3,0,2.589041095890411,-5.630769230769231,0.018101810181018103,31.666666666666664,-51.29353233830845,0.8141779352064558
SNACKPACK,SNACKPACK_VANILLA,one_tick_inside,sell,1,3,29997,211,555,0.007034036737007034,0.0185018501850185,3.206161137440758,-5.369668246445498,7.319905213270142,-4.113744075829384,0.022552255225522552,-0.03777044371103777,3,0,2.629032258064516,-5.887096774193548,0.016301630163016303,32.06161137440758,-53.69668246445498,0.7468495664732346
