case,kind,product,param,match_mode,day2,day3,day4,total,delta,min_day,status,error
baseline,baseline,,,default,440342,401360,507776,1349478,0,401360,ok,
drop_mm__ROBOT_LAUNDRY,drop_mm,ROBOT_LAUNDRY,,default,434552,401544,505815,1341911,-7567,401544,ok,
drop_mm__MICROCHIP_CIRCLE,drop_mm,MICROCHIP_CIRCLE,,default,440853,399634,495832,1336319,-13159,399634,ok,
drop_mm__SLEEP_POD_NYLON,drop_mm,SLEEP_POD_NYLON,,default,438151,394144,502486,1334781,-14697,394144,ok,
drop_mm__UV_VISOR_RED,drop_mm,UV_VISOR_RED,,default,432760,397672,502344,1332776,-16702,397672,ok,
drop_mm__SLEEP_POD_SUEDE,drop_mm,SLEEP_POD_SUEDE,,default,430278,390164,511030,1331472,-18006,390164,ok,
drop_mm__OXYGEN_SHAKE_MORNING_BREATH,drop_mm,OXYGEN_SHAKE_MORNING_BREATH,,default,431974,393202,504370,1329546,-19932,393202,ok,
drop_mm__OXYGEN_SHAKE_EVENING_BREATH,drop_mm,OXYGEN_SHAKE_EVENING_BREATH,,default,438225,393478,495400,1327103,-22375,393478,ok,
drop_mm__PANEL_2X4,drop_mm,PANEL_2X4,,default,435568,395240,495136,1325944,-23534,395240,ok,
drop_mm__ROBOT_IRONING,drop_mm,ROBOT_IRONING,,default,435492,380810,508776,1325078,-24400,380810,ok,
drop_mm__OXYGEN_SHAKE_CHOCOLATE,drop_mm,OXYGEN_SHAKE_CHOCOLATE,,default,431028,390926,502440,1324394,-25084,390926,ok,
drop_mm__UV_VISOR_ORANGE,drop_mm,UV_VISOR_ORANGE,,default,435004,396372,492536,1323912,-25566,396372,ok,
drop_mm__UV_VISOR_AMBER,drop_mm,UV_VISOR_AMBER,,default,426409,391184,506136,1323729,-25749,391184,ok,
drop_mm__GALAXY_SOUNDS_PLANETARY_RINGS,drop_mm,GALAXY_SOUNDS_PLANETARY_RINGS,,default,417047,401750,501036,1319833,-29645,401750,ok,
drop_mm__PANEL_1X4,drop_mm,PANEL_1X4,,default,423517,396522,498243,1318282,-31196,396522,ok,
drop_mm__MICROCHIP_SQUARE,drop_mm,MICROCHIP_SQUARE,,default,416081,368488,528612,1313181,-36297,368488,ok,
drop_mm__GALAXY_SOUNDS_BLACK_HOLES,drop_mm,GALAXY_SOUNDS_BLACK_HOLES,,default,423853,394970,492066,1310889,-38589,394970,ok,
drop_mm__OXYGEN_SHAKE_GARLIC,drop_mm,OXYGEN_SHAKE_GARLIC,,default,419935,401580,486358,1307873,-41605,401580,ok,
drop_mm__MICROCHIP_OVAL,drop_mm,MICROCHIP_OVAL,,default,434724,382538,488870,1306132,-43346,382538,ok,
drop_mm__PEBBLES_S,drop_mm,PEBBLES_S,,default,420213,396172,484584,1300969,-48509,396172,ok,
drop_all_current_mm,drop_all,,,default,239508,241901,362108,843517,-505961,239508,ok,
