case,kind,product_under_test,param,match_mode,day,product,pnl
baseline,baseline,,,default,2,GALAXY_SOUNDS_BLACK_HOLES,16489
baseline,baseline,,,default,2,GALAXY_SOUNDS_DARK_MATTER,5538
baseline,baseline,,,default,2,GALAXY_SOUNDS_PLANETARY_RINGS,23295
baseline,baseline,,,default,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
baseline,baseline,,,default,2,GALAXY_SOUNDS_SOLAR_WINDS,965
baseline,baseline,,,default,2,MICROCHIP_CIRCLE,-511
baseline,baseline,,,default,2,MICROCHIP_OVAL,5618
baseline,baseline,,,default,2,MICROCHIP_RECTANGLE,16141
baseline,baseline,,,default,2,MICROCHIP_SQUARE,24261
baseline,baseline,,,default,2,MICROCHIP_TRIANGLE,6325
baseline,baseline,,,default,2,OXYGEN_SHAKE_CHOCOLATE,9314
baseline,baseline,,,default,2,OXYGEN_SHAKE_EVENING_BREATH,2117
baseline,baseline,,,default,2,OXYGEN_SHAKE_GARLIC,20407
baseline,baseline,,,default,2,OXYGEN_SHAKE_MINT,23230
baseline,baseline,,,default,2,OXYGEN_SHAKE_MORNING_BREATH,8368
baseline,baseline,,,default,2,PANEL_1X2,0
baseline,baseline,,,default,2,PANEL_1X4,16825
baseline,baseline,,,default,2,PANEL_2X2,7060
baseline,baseline,,,default,2,PANEL_2X4,4774
baseline,baseline,,,default,2,PANEL_4X4,0
baseline,baseline,,,default,2,PEBBLES_L,16790
baseline,baseline,,,default,2,PEBBLES_M,0
baseline,baseline,,,default,2,PEBBLES_S,20129
baseline,baseline,,,default,2,PEBBLES_XL,19620
baseline,baseline,,,default,2,PEBBLES_XS,9650
baseline,baseline,,,default,2,ROBOT_DISHES,2984
baseline,baseline,,,default,2,ROBOT_IRONING,4850
baseline,baseline,,,default,2,ROBOT_LAUNDRY,11939
baseline,baseline,,,default,2,ROBOT_MOPPING,4728
baseline,baseline,,,default,2,ROBOT_VACUUMING,-1758
baseline,baseline,,,default,2,SLEEP_POD_COTTON,13278
