case,kind,product,param,match_mode,day2,day3,day4,total,delta,min_day,status,error
baseline,baseline,,,default,440342,401360,507776,1349478,0,401360,ok,
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,441214,401300,507152,1349666,188,401300,ok,
owned_mm_size1__ROBOT_DISHES,owned_mm_size1,ROBOT_DISHES,size1,default,440446,401660,507474,1349580,102,401660,ok,
owned_mm_reduce__PEBBLES_L,owned_mm_reduce,PEBBLES_L,reduce,default,440136,402878,507974,1350988,1510,402878,ok,
owned_mm_size1__PEBBLES_L,owned_mm_size1,PEBBLES_L,size1,default,439982,401626,507800,1349408,-70,401626,ok,
owned_mm_reduce__OXYGEN_SHAKE_MINT,owned_mm_reduce,OXYGEN_SHAKE_MINT,reduce,default,440342,401360,507776,1349478,0,401360,ok,
owned_mm_size1__OXYGEN_SHAKE_MINT,owned_mm_size1,OXYGEN_SHAKE_MINT,size1,default,440342,401360,507776,1349478,0,401360,ok,
owned_mm_reduce__SNACKPACK_STRAWBERRY,owned_mm_reduce,SNACKPACK_STRAWBERRY,reduce,default,440425,402516,505254,1348195,-1283,402516,ok,
owned_mm_size1__SNACKPACK_STRAWBERRY,owned_mm_size1,SNACKPACK_STRAWBERRY,size1,default,440446,401476,506551,1348473,-1005,401476,ok,
owned_mm_reduce__SNACKPACK_CHOCOLATE,owned_mm_reduce,SNACKPACK_CHOCOLATE,reduce,default,440850,400560,507282,1348692,-786,400560,ok,
owned_mm_size1__SNACKPACK_CHOCOLATE,owned_mm_size1,SNACKPACK_CHOCOLATE,size1,default,441310,402152,507626,1351088,1610,402152,ok,
