source,case,kind,product,param,total,delta,day2,day3,day4,reason
v11_mm_focused_summary.partial.csv,ask_off__PEBBLES_S,ask_off,PEBBLES_S,,1282178,-67300,408786,394158,479234,regressed vs v11 default
v11_mm_focused_summary.partial.csv,ask_off__GALAXY_SOUNDS_PLANETARY_RINGS,ask_off,GALAXY_SOUNDS_PLANETARY_RINGS,,1310813,-38665,426585,400264,483964,regressed vs v11 default
v11_mm_side_on_summary.csv,ask_on__OXYGEN_SHAKE_GARLIC,ask_on,OXYGEN_SHAKE_GARLIC,,1313914,-35564,415196,402254,496464,regressed vs v11 default
v11_mm_side_on_summary.csv,bid_on__MICROCHIP_OVAL,bid_on,MICROCHIP_OVAL,,1317797,-31681,439663,387886,490248,regressed vs v11 default
v11_mm_focused_summary.partial.csv,bid_off__PEBBLES_S,bid_off,PEBBLES_S,,1319864,-29614,431450,396948,491466,regressed vs v11 default
v11_mm_side_on_summary.csv,ask_on__MICROCHIP_SQUARE,ask_on,MICROCHIP_SQUARE,,1322874,-26604,417856,367870,537148,regressed vs v11 default
v11_mm_focused_summary.partial.csv,bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,,1326517,-22961,407349,403020,516148,regressed vs v11 default
v11_mm_side_on_summary.csv,ask_on__GALAXY_SOUNDS_BLACK_HOLES,ask_on,GALAXY_SOUNDS_BLACK_HOLES,,1327341,-22137,417968,401678,507695,regressed vs v11 default
v11_mm_side_on_summary.csv,ask_on__PANEL_2X4,ask_on,PANEL_2X4,,1338402,-11076,434884,399630,503888,regressed vs v11 default
v11_mm_size_summary.csv,size_2__GALAXY_SOUNDS_PLANETARY_RINGS,size,GALAXY_SOUNDS_PLANETARY_RINGS,2,1338729,-10749,439217,400339,499173,regressed vs v11 default
v11_mm_size_summary.csv,size_5__GALAXY_SOUNDS_PLANETARY_RINGS,size,GALAXY_SOUNDS_PLANETARY_RINGS,5,1339505,-9973,440747,404164,494594,regressed vs v11 default
v11_mm_size_summary.csv,size_10__GALAXY_SOUNDS_PLANETARY_RINGS,size,GALAXY_SOUNDS_PLANETARY_RINGS,10,1339505,-9973,440747,404164,494594,regressed vs v11 default
v11_mm_side_on_summary.csv,bid_on__UV_VISOR_AMBER,bid_on,UV_VISOR_AMBER,,1343823,-5655,435005,391164,517654,regressed vs v11 default
v11_mm_side_on_summary.csv,ask_on__UV_VISOR_RED,ask_on,UV_VISOR_RED,,1344085,-5393,434441,406720,502924,regressed vs v11 default
v11_mm_side_on_summary.csv,ask_on__SLEEP_POD_SUEDE,ask_on,SLEEP_POD_SUEDE,,1347202,-2276,445300,396716,505186,regressed vs v11 default
v11_mm_size_summary.csv,size_5__OXYGEN_SHAKE_GARLIC,size,OXYGEN_SHAKE_GARLIC,5,1347564,-1914,439556,400262,507746,regressed vs v11 default
v11_mm_size_summary.csv,size_10__OXYGEN_SHAKE_GARLIC,size,OXYGEN_SHAKE_GARLIC,10,1347564,-1914,439556,400262,507746,regressed vs v11 default
v11_mm_side_on_summary.csv,bid_on__ROBOT_IRONING,bid_on,ROBOT_IRONING,,1347642,-1836,449624,388190,509828,regressed vs v11 default
v11_mm_size_summary.csv,size_5__MICROCHIP_CIRCLE,size,MICROCHIP_CIRCLE,5,1347688,-1790,441376,398772,507540,regressed vs v11 default
v11_mm_size_summary.csv,size_10__MICROCHIP_CIRCLE,size,MICROCHIP_CIRCLE,10,1347688,-1790,441376,398772,507540,regressed vs v11 default
v11_mm_imbalance_summary.csv,imb_0p2__PEBBLES_S,imbalance,PEBBLES_S,0.2,1347971,-1507,439805,401662,506504,regressed vs v11 default
v11_mm_owned_summary.csv,owned_mm_reduce__SNACKPACK_STRAWBERRY,owned_mm_reduce,SNACKPACK_STRAWBERRY,reduce,1348195,-1283,440425,402516,505254,regressed vs v11 default
v11_mm_size_summary.csv,size_5__PANEL_2X4,size,PANEL_2X4,5,1348298,-1180,440380,401542,506376,regressed vs v11 default
v11_mm_size_summary.csv,size_10__PANEL_2X4,size,PANEL_2X4,10,1348298,-1180,440380,401542,506376,regressed vs v11 default
v11_mm_owned_summary.csv,owned_mm_size1__SNACKPACK_STRAWBERRY,owned_mm_size1,SNACKPACK_STRAWBERRY,size1,1348473,-1005,440446,401476,506551,regressed vs v11 default
v11_mm_size_summary.csv,size_5__ROBOT_IRONING,size,ROBOT_IRONING,5,1348618,-860,440162,401730,506726,regressed vs v11 default
v11_mm_size_summary.csv,size_10__ROBOT_IRONING,size,ROBOT_IRONING,10,1348618,-860,440162,401730,506726,regressed vs v11 default
v11_mm_size_summary.csv,size_2__OXYGEN_SHAKE_GARLIC,size,OXYGEN_SHAKE_GARLIC,2,1348667,-811,440299,400376,507992,regressed vs v11 default
v11_mm_owned_summary.csv,owned_mm_reduce__SNACKPACK_CHOCOLATE,owned_mm_reduce,SNACKPACK_CHOCOLATE,reduce,1348692,-786,440850,400560,507282,regressed vs v11 default
v11_mm_size_summary.csv,size_2__PANEL_2X4,size,PANEL_2X4,2,1348696,-782,439930,401540,507226,regressed vs v11 default
v11_mm_imbalance_summary.csv,imb_0p4__PEBBLES_S,imbalance,PEBBLES_S,0.4,1349065,-413,439805,401360,507900,regressed vs v11 default
v11_mm_size_summary.csv,size_2__MICROCHIP_CIRCLE,size,MICROCHIP_CIRCLE,2,1349278,-200,440578,400258,508442,regressed vs v11 default
v11_mm_imbalance_summary.csv,imb_0p2__OXYGEN_SHAKE_GARLIC,imbalance,OXYGEN_SHAKE_GARLIC,0.2,1349292,-186,440156,401360,507776,regressed vs v11 default
v11_mm_imbalance_summary.csv,imb_0p4__OXYGEN_SHAKE_GARLIC,imbalance,OXYGEN_SHAKE_GARLIC,0.4,1349292,-186,440156,401360,507776,regressed vs v11 default
v11_mm_owned_summary.csv,owned_mm_size1__PEBBLES_L,owned_mm_size1,PEBBLES_L,size1,1349408,-70,439982,401626,507800,regressed vs v11 default
v11_mm_size_summary.csv,size_2__ROBOT_IRONING,size,ROBOT_IRONING,2,1349428,-50,440362,401800,507266,regressed vs v11 default
