case,day2,day3,day4,total,delta,status,error
top8_sizes_plus_laundry,418311,387230,428775,1234316,38114,ok,
global4_plus_top5_laundry,419019,387330,425884,1232233,36031,ok,
top5_sizes_plus_laundry,418844,385374,427001,1231219,35017,ok,
top3_sizes_plus_laundry,419092,381686,426736,1227514,31312,ok,
top8_sizes,412521,387414,426814,1226749,30547,ok,
top5_sizes,413054,385558,425040,1223652,27450,ok,
top2_plus_laundry,414850,376278,431676,1222804,26602,ok,
top3_sizes,413302,381870,424776,1219948,23746,ok,
global4_plus_top2,409234,378418,428598,1216250,20048,ok,
top2_size1,409060,376462,429715,1215237,19035,ok,
