case,kind,product,param,day2,day3,day4,total,delta,min_day,status,error
size_1__GALAXY_SOUNDS_PLANETARY_RINGS,product_size,GALAXY_SOUNDS_PLANETARY_RINGS,1,408046,373989,424140,1206175,9973,373989,ok,
size_1__UV_VISOR_ORANGE,product_size,UV_VISOR_ORANGE,1,409464,379265,416534,1205263,9061,379265,ok,
add_mr_mm__ROBOT_LAUNDRY,add_mr_mm,ROBOT_LAUNDRY,normal,414241,376608,412920,1203769,7567,376608,ok,
size_1__OXYGEN_SHAKE_MORNING_BREATH,product_size,OXYGEN_SHAKE_MORNING_BREATH,1,412694,382202,406020,1200916,4714,382202,ok,
size_1__OXYGEN_SHAKE_GARLIC,product_size,OXYGEN_SHAKE_GARLIC,1,409237,377892,410989,1198118,1916,377892,ok,
size_1__MICROCHIP_CIRCLE,product_size,MICROCHIP_CIRCLE,1,407417,379382,411194,1197993,1791,379382,ok,
size_2__MICROCHIP_CIRCLE,product_size,MICROCHIP_CIRCLE,2,407653,378278,411861,1197792,1590,378278,ok,
size_2__OXYGEN_SHAKE_MORNING_BREATH,product_size,OXYGEN_SHAKE_MORNING_BREATH,2,408763,379728,409143,1197634,1432,379728,ok,
size_1__PANEL_2X4,product_size,PANEL_2X4,1,408413,376612,412359,1197384,1182,376612,ok,
size_2__OXYGEN_SHAKE_GARLIC,product_size,OXYGEN_SHAKE_GARLIC,2,409194,376906,411205,1197305,1103,376906,ok,
size_2__SNACKPACK_STRAWBERRY,product_size,SNACKPACK_STRAWBERRY,2,407776,379198,410283,1197257,1055,379198,ok,
global_size_4,global_size,,4,408626,378748,409842,1197216,1014,378748,ok,
size_1__ROBOT_IRONING,product_size,ROBOT_IRONING,1,408631,376422,412009,1197062,860,376422,ok,
size_2__ROBOT_IRONING,product_size,ROBOT_IRONING,2,408651,376862,411499,1197012,810,376862,ok,
size_2__PANEL_2X4,product_size,PANEL_2X4,2,408001,376792,411809,1196602,400,376792,ok,
size_1__GALAXY_SOUNDS_BLACK_HOLES,product_size,GALAXY_SOUNDS_BLACK_HOLES,1,407758,377668,411057,1196483,281,377668,ok,
size_2__MICROCHIP_OVAL,product_size,MICROCHIP_OVAL,2,408549,376858,410821,1196228,26,376858,ok,
baseline,baseline,,,408451,376792,410959,1196202,0,376792,ok,
global_size_5,global_size,,5,408451,376792,410959,1196202,0,376792,ok,
global_size_7,global_size,,7,408451,376792,410959,1196202,0,376792,ok,
size_5__GALAXY_SOUNDS_BLACK_HOLES,product_size,GALAXY_SOUNDS_BLACK_HOLES,5,408451,376792,410959,1196202,0,376792,ok,
size_5__GALAXY_SOUNDS_PLANETARY_RINGS,product_size,GALAXY_SOUNDS_PLANETARY_RINGS,5,408451,376792,410959,1196202,0,376792,ok,
size_5__MICROCHIP_CIRCLE,product_size,MICROCHIP_CIRCLE,5,408451,376792,410959,1196202,0,376792,ok,
size_5__MICROCHIP_OVAL,product_size,MICROCHIP_OVAL,5,408451,376792,410959,1196202,0,376792,ok,
size_5__MICROCHIP_SQUARE,product_size,MICROCHIP_SQUARE,5,408451,376792,410959,1196202,0,376792,ok,
size_5__OXYGEN_SHAKE_CHOCOLATE,product_size,OXYGEN_SHAKE_CHOCOLATE,5,408451,376792,410959,1196202,0,376792,ok,
size_5__OXYGEN_SHAKE_EVENING_BREATH,product_size,OXYGEN_SHAKE_EVENING_BREATH,5,408451,376792,410959,1196202,0,376792,ok,
size_5__OXYGEN_SHAKE_GARLIC,product_size,OXYGEN_SHAKE_GARLIC,5,408451,376792,410959,1196202,0,376792,ok,
size_5__OXYGEN_SHAKE_MORNING_BREATH,product_size,OXYGEN_SHAKE_MORNING_BREATH,5,408451,376792,410959,1196202,0,376792,ok,
size_5__PANEL_1X4,product_size,PANEL_1X4,5,408451,376792,410959,1196202,0,376792,ok,
size_5__PANEL_2X4,product_size,PANEL_2X4,5,408451,376792,410959,1196202,0,376792,ok,
size_5__PEBBLES_S,product_size,PEBBLES_S,5,408451,376792,410959,1196202,0,376792,ok,
size_5__ROBOT_DISHES,product_size,ROBOT_DISHES,5,408451,376792,410959,1196202,0,376792,ok,
size_5__ROBOT_IRONING,product_size,ROBOT_IRONING,5,408451,376792,410959,1196202,0,376792,ok,
size_5__SLEEP_POD_NYLON,product_size,SLEEP_POD_NYLON,5,408451,376792,410959,1196202,0,376792,ok,
size_5__SLEEP_POD_SUEDE,product_size,SLEEP_POD_SUEDE,5,408451,376792,410959,1196202,0,376792,ok,
size_5__SNACKPACK_CHOCOLATE,product_size,SNACKPACK_CHOCOLATE,5,408451,376792,410959,1196202,0,376792,ok,
size_5__SNACKPACK_STRAWBERRY,product_size,SNACKPACK_STRAWBERRY,5,408451,376792,410959,1196202,0,376792,ok,
size_5__TRANSLATOR_ASTRO_BLACK,product_size,TRANSLATOR_ASTRO_BLACK,5,408451,376792,410959,1196202,0,376792,ok,
size_5__UV_VISOR_AMBER,product_size,UV_VISOR_AMBER,5,408451,376792,410959,1196202,0,376792,ok,
size_5__UV_VISOR_ORANGE,product_size,UV_VISOR_ORANGE,5,408451,376792,410959,1196202,0,376792,ok,
size_5__UV_VISOR_RED,product_size,UV_VISOR_RED,5,408451,376792,410959,1196202,0,376792,ok,
size_2__GALAXY_SOUNDS_BLACK_HOLES,product_size,GALAXY_SOUNDS_BLACK_HOLES,2,408354,376842,410953,1196149,-53,376842,ok,
size_2__TRANSLATOR_ASTRO_BLACK,product_size,TRANSLATOR_ASTRO_BLACK,2,408304,376456,411363,1196123,-79,376456,ok,
size_2__MICROCHIP_SQUARE,product_size,MICROCHIP_SQUARE,2,408476,376482,410782,1195740,-462,376482,ok,
size_2__SLEEP_POD_NYLON,product_size,SLEEP_POD_NYLON,2,406145,378374,411203,1195722,-480,378374,ok,
size_1__TRANSLATOR_ASTRO_BLACK,product_size,TRANSLATOR_ASTRO_BLACK,1,408107,375774,411768,1195649,-553,375774,ok,
size_2__GALAXY_SOUNDS_PLANETARY_RINGS,product_size,GALAXY_SOUNDS_PLANETARY_RINGS,2,406921,372968,415538,1195427,-775,372968,ok,
size_2__UV_VISOR_ORANGE,product_size,UV_VISOR_ORANGE,2,409363,377236,408620,1195219,-983,377236,ok,
size_2__SLEEP_POD_SUEDE,product_size,SLEEP_POD_SUEDE,2,407915,376866,410401,1195182,-1020,376866,ok,
add_mr_mm_reduce__ROBOT_LAUNDRY,add_mr_mm_reduce,ROBOT_LAUNDRY,reduce,406223,382095,406717,1195035,-1167,382095,ok,
size_1__MICROCHIP_OVAL,product_size,MICROCHIP_OVAL,1,408633,376018,409986,1194637,-1565,376018,ok,
size_2__UV_VISOR_AMBER,product_size,UV_VISOR_AMBER,2,408501,376148,409923,1194572,-1630,376148,ok,
size_2__UV_VISOR_RED,product_size,UV_VISOR_RED,2,406995,376782,410655,1194432,-1770,376782,ok,
size_1__SNACKPACK_STRAWBERRY,product_size,SNACKPACK_STRAWBERRY,1,404612,377570,412192,1194374,-1828,377570,ok,
size_1__MICROCHIP_SQUARE,product_size,MICROCHIP_SQUARE,1,408988,374344,410814,1194146,-2056,374344,ok,
size_2__OXYGEN_SHAKE_CHOCOLATE,product_size,OXYGEN_SHAKE_CHOCOLATE,2,410547,371430,411697,1193674,-2528,371430,ok,
size_1__SLEEP_POD_SUEDE,product_size,SLEEP_POD_SUEDE,1,407163,376010,410263,1193436,-2766,376010,ok,
size_2__OXYGEN_SHAKE_EVENING_BREATH,product_size,OXYGEN_SHAKE_EVENING_BREATH,2,406608,379012,407645,1193265,-2937,379012,ok,
size_1__UV_VISOR_RED,product_size,UV_VISOR_RED,1,404941,378176,410025,1193142,-3060,378176,ok,
size_1__UV_VISOR_AMBER,product_size,UV_VISOR_AMBER,1,408235,375050,409503,1192788,-3414,375050,ok,
size_1__OXYGEN_SHAKE_CHOCOLATE,product_size,OXYGEN_SHAKE_CHOCOLATE,1,410938,367456,413064,1191458,-4744,367456,ok,
size_2__PANEL_1X4,product_size,PANEL_1X4,2,407212,375886,407599,1190697,-5505,375886,ok,
size_2__SNACKPACK_CHOCOLATE,product_size,SNACKPACK_CHOCOLATE,2,406484,374808,408598,1189890,-6312,374808,ok,
flat_only__SNACKPACK_STRAWBERRY,flat_only,SNACKPACK_STRAWBERRY,,407773,373344,407462,1188579,-7623,373344,ok,
flat_only__OXYGEN_SHAKE_MORNING_BREATH,flat_only,OXYGEN_SHAKE_MORNING_BREATH,,408528,377054,402582,1188164,-8038,377054,ok,
size_1__PANEL_1X4,product_size,PANEL_1X4,1,406832,380054,400990,1187876,-8326,380054,ok,
reduce_only__SNACKPACK_STRAWBERRY,reduce_only,SNACKPACK_STRAWBERRY,,405845,374082,407544,1187471,-8731,374082,ok,
drop_mm__SNACKPACK_STRAWBERRY,drop_mm,SNACKPACK_STRAWBERRY,,405845,374082,407544,1187471,-8731,374082,ok,
flat_only__TRANSLATOR_ASTRO_BLACK,flat_only,TRANSLATOR_ASTRO_BLACK,,409414,369860,408172,1187446,-8756,369860,ok,
add_mr_mm__MICROCHIP_TRIANGLE,add_mr_mm,MICROCHIP_TRIANGLE,normal,402971,369306,414445,1186722,-9480,369306,ok,
size_2__ROBOT_DISHES,product_size,ROBOT_DISHES,2,408467,369466,408238,1186171,-10031,369466,ok,
add_mr_mm_flat__MICROCHIP_TRIANGLE,add_mr_mm_flat,MICROCHIP_TRIANGLE,flat,405848,367742,412522,1186112,-10090,367742,ok,
flat_only__UV_VISOR_RED,flat_only,UV_VISOR_RED,,404345,373494,407825,1185664,-10538,373494,ok,
reduce_only__TRANSLATOR_ASTRO_BLACK,reduce_only,TRANSLATOR_ASTRO_BLACK,,409587,367826,407962,1185375,-10827,367826,ok,
drop_mm__TRANSLATOR_ASTRO_BLACK,drop_mm,TRANSLATOR_ASTRO_BLACK,,409587,367826,407962,1185375,-10827,367826,ok,
reduce_only__MICROCHIP_CIRCLE,reduce_only,MICROCHIP_CIRCLE,,407928,377654,399250,1184832,-11370,377654,ok,
drop_mm__MICROCHIP_CIRCLE,drop_mm,MICROCHIP_CIRCLE,,407928,377654,399250,1184832,-11370,377654,ok,
size_1__OXYGEN_SHAKE_EVENING_BREATH,product_size,OXYGEN_SHAKE_EVENING_BREATH,1,406796,374128,403029,1183953,-12249,374128,ok,
add_mr_mm_flat__ROBOT_LAUNDRY,add_mr_mm_flat,ROBOT_LAUNDRY,flat,402800,373670,407286,1183756,-12446,373670,ok,
flat_only__SLEEP_POD_SUEDE,flat_only,SLEEP_POD_SUEDE,,402871,367708,412984,1183563,-12639,367708,ok,
add_mr_mm_reduce__MICROCHIP_TRIANGLE,add_mr_mm_reduce,MICROCHIP_TRIANGLE,reduce,407297,367706,408373,1183376,-12826,367706,ok,
flat_only__GALAXY_SOUNDS_PLANETARY_RINGS,flat_only,GALAXY_SOUNDS_PLANETARY_RINGS,,389919,374217,419177,1183313,-12889,374217,ok,
flat_only__PANEL_2X4,flat_only,PANEL_2X4,,406539,371832,404146,1182517,-13685,371832,ok,
reduce_only__SLEEP_POD_NYLON,reduce_only,SLEEP_POD_NYLON,,406260,369576,405670,1181506,-14696,369576,ok,
drop_mm__SLEEP_POD_NYLON,drop_mm,SLEEP_POD_NYLON,,406260,369576,405670,1181506,-14696,369576,ok,
size_1__SNACKPACK_CHOCOLATE,product_size,SNACKPACK_CHOCOLATE,1,404774,371728,404833,1181335,-14867,371728,ok,
size_1__SLEEP_POD_NYLON,product_size,SLEEP_POD_NYLON,1,405144,371238,404876,1181258,-14944,371238,ok,
flat_only__MICROCHIP_CIRCLE,flat_only,MICROCHIP_CIRCLE,,406767,376930,397414,1181111,-15091,376930,ok,
flat_only__UV_VISOR_ORANGE,flat_only,UV_VISOR_ORANGE,,404680,374093,402225,1180998,-15204,374093,ok,
reduce_only__OXYGEN_SHAKE_MORNING_BREATH,reduce_only,OXYGEN_SHAKE_MORNING_BREATH,,404326,374042,402614,1180982,-15220,374042,ok,
drop_mm__OXYGEN_SHAKE_MORNING_BREATH,drop_mm,OXYGEN_SHAKE_MORNING_BREATH,,404326,374042,402614,1180982,-15220,374042,ok,
add_mr_mm__PEBBLES_XL,add_mr_mm,PEBBLES_XL,normal,406666,371826,402486,1180978,-15224,371826,ok,
size_1__ROBOT_DISHES,product_size,ROBOT_DISHES,1,406068,366454,407638,1180160,-16042,366454,ok,
reduce_only__UV_VISOR_ORANGE,reduce_only,UV_VISOR_ORANGE,,404126,374276,401294,1179696,-16506,374276,ok,
drop_mm__UV_VISOR_ORANGE,drop_mm,UV_VISOR_ORANGE,,404126,374276,401294,1179696,-16506,374276,ok,
reduce_only__UV_VISOR_RED,reduce_only,UV_VISOR_RED,,400869,373104,405527,1179500,-16702,373104,ok,
drop_mm__UV_VISOR_RED,drop_mm,UV_VISOR_RED,,400869,373104,405527,1179500,-16702,373104,ok,
reduce_only__ROBOT_DISHES,reduce_only,ROBOT_DISHES,,400384,365861,413078,1179323,-16879,365861,ok,
drop_mm__ROBOT_DISHES,drop_mm,ROBOT_DISHES,,400384,365861,413078,1179323,-16879,365861,ok,
add_mr_mm_reduce__PEBBLES_XS,add_mr_mm_reduce,PEBBLES_XS,reduce,404486,369508,404207,1178201,-18001,369508,ok,
reduce_only__SLEEP_POD_SUEDE,reduce_only,SLEEP_POD_SUEDE,,398387,365596,414214,1178197,-18005,365596,ok,
drop_mm__SLEEP_POD_SUEDE,drop_mm,SLEEP_POD_SUEDE,,398387,365596,414214,1178197,-18005,365596,ok,
global_size_3,global_size,,3,402570,374425,401045,1178040,-18162,374425,ok,
flat_only__ROBOT_DISHES,flat_only,ROBOT_DISHES,,400136,365440,412008,1177584,-18618,365440,ok,
flat_only__ROBOT_IRONING,flat_only,ROBOT_IRONING,,404205,359900,412712,1176817,-19385,359900,ok,
reduce_only__GALAXY_SOUNDS_PLANETARY_RINGS,reduce_only,GALAXY_SOUNDS_PLANETARY_RINGS,,384751,374378,417400,1176529,-19673,374378,ok,
drop_mm__GALAXY_SOUNDS_PLANETARY_RINGS,drop_mm,GALAXY_SOUNDS_PLANETARY_RINGS,,384751,374378,417400,1176529,-19673,374378,ok,
