product,group,kind,window,threshold,horizon,total_pnl,min_day_pnl,day2,day3,day4,trades,positive_days,avg_win_pct
PEBBLES_XL,PEBBLES,product_rolling,200,2.5,500,126780.0,19620.0,19620.0,38640.0,68520.0,133,3,0.5292861250308059
PEBBLES_XL,PEBBLES,group_equal,200,2.5,500,126670.0,19620.0,19620.0,38640.0,68410.0,133,3,0.5292861250308059
PEBBLES_XL,PEBBLES,group_vol,200,2.5,500,124090.0,19620.0,19620.0,38640.0,65830.0,132,3,0.5253178710625519
PEBBLES_XL,PEBBLES,product_rolling,200,3.0,200,62369.0,15695.0,16294.0,15695.0,30380.0,59,3,0.5668518518518518
PEBBLES_XL,PEBBLES,group_vol,500,2.5,200,62159.0,12205.0,17570.0,32384.0,12205.0,58,3,0.48663324979114453
PEBBLES_XL,PEBBLES,group_equal,500,2.5,200,61489.0,12205.0,16900.0,32384.0,12205.0,58,3,0.48663324979114453
PEBBLES_XL,PEBBLES,product_rolling,500,2.5,200,61489.0,12205.0,16900.0,32384.0,12205.0,58,3,0.48663324979114453
PEBBLES_XL,PEBBLES,product_rolling,200,3.0,100,43649.0,11714.0,11714.0,13595.0,18340.0,59,3,0.5668518518518518
PEBBLES_XL,PEBBLES,product_rolling,500,2.0,200,71399.0,10314.0,10314.0,45065.0,16020.0,92,3,0.4751683501683502
PEBBLES_XS,PEBBLES,product_rolling,1000,3.0,500,31420.0,9490.0,9650.0,9490.0,12280.0,21,3,0.6686507936507936
PEBBLES_XS,PEBBLES,group_equal,1000,3.0,500,31370.0,9440.0,9650.0,9440.0,12280.0,21,3,0.6686507936507936
PEBBLES_XL,PEBBLES,group_equal,500,3.0,200,36640.0,8190.0,16780.0,11670.0,8190.0,30,3,0.473063973063973
PEBBLES_XL,PEBBLES,product_rolling,500,3.0,200,36640.0,8190.0,16780.0,11670.0,8190.0,30,3,0.473063973063973
PEBBLES_XL,PEBBLES,group_vol,500,3.0,200,35830.0,7380.0,16780.0,11670.0,7380.0,30,3,0.473063973063973
PEBBLES_XL,PEBBLES,product_rolling,500,1.5,200,61032.0,6620.0,8208.0,46204.0,6620.0,145,3,0.4504241412877208
PEBBLES_XL,PEBBLES,product_rolling,100,3.0,200,47495.0,6480.0,6480.0,21415.0,19600.0,117,3,0.41598915989159885
PEBBLES_XL,PEBBLES,group_equal,500,3.0,500,34840.0,6410.0,6860.0,21570.0,6410.0,30,3,0.473063973063973
PEBBLES_XL,PEBBLES,product_rolling,500,3.0,500,34840.0,6410.0,6860.0,21570.0,6410.0,30,3,0.473063973063973
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,1000,2.5,500,30810.0,6325.0,6325.0,10233.0,14252.0,31,3,0.5488215488215488
PEBBLES_XL,PEBBLES,group_vol,500,3.0,500,34030.0,5600.0,6860.0,21570.0,5600.0,30,3,0.473063973063973
PEBBLES_XL,PEBBLES,group_vol,500,2.5,100,30719.0,5360.0,5360.0,15014.0,10345.0,69,3,0.4830089717046239
PEBBLES_XL,PEBBLES,group_equal,500,3.0,100,19520.0,5150.0,6340.0,5150.0,8030.0,31,3,0.46296296296296297
PEBBLES_XL,PEBBLES,product_rolling,500,3.0,100,19520.0,5150.0,6340.0,5150.0,8030.0,31,3,0.46296296296296297
PEBBLES_XL,PEBBLES,group_vol,500,3.0,100,18710.0,5150.0,6340.0,5150.0,7220.0,31,3,0.46296296296296297
