variant,day,product,pnl
baseline,2,GALAXY_SOUNDS_BLACK_HOLES,-6333
baseline,2,GALAXY_SOUNDS_DARK_MATTER,1855
baseline,2,GALAXY_SOUNDS_PLANETARY_RINGS,23252
baseline,2,GALAXY_SOUNDS_SOLAR_FLAMES,4640
baseline,2,GALAXY_SOUNDS_SOLAR_WINDS,-9377
baseline,2,MICROCHIP_CIRCLE,222
baseline,2,MICROCHIP_OVAL,4638
baseline,2,MICROCHIP_RECTANGLE,16141
baseline,2,MICROCHIP_SQUARE,1474
baseline,2,MICROCHIP_TRIANGLE,4961
baseline,2,OXYGEN_SHAKE_CHOCOLATE,8866
baseline,2,OXYGEN_SHAKE_EVENING_BREATH,1669
baseline,2,OXYGEN_SHAKE_GARLIC,-2251
baseline,2,OXYGEN_SHAKE_MINT,0
baseline,2,OXYGEN_SHAKE_MORNING_BREATH,3677
baseline,2,PANEL_1X2,0
baseline,2,PANEL_1X4,16377
baseline,2,PANEL_2X2,0
baseline,2,PANEL_2X4,1001
baseline,2,PANEL_4X4,0
baseline,2,PEBBLES_L,-5713
baseline,2,PEBBLES_M,0
baseline,2,PEBBLES_S,-4206
baseline,2,PEBBLES_XL,-662
baseline,2,PEBBLES_XS,0
baseline,2,ROBOT_DISHES,7619
baseline,2,ROBOT_IRONING,3031
baseline,2,ROBOT_LAUNDRY,-2135
baseline,2,ROBOT_MOPPING,0
baseline,2,ROBOT_VACUUMING,0
baseline,2,SLEEP_POD_COTTON,-1166
baseline,2,SLEEP_POD_LAMB_WOOL,0
baseline,2,SLEEP_POD_NYLON,1743
baseline,2,SLEEP_POD_POLYESTER,7349
baseline,2,SLEEP_POD_SUEDE,14574
baseline,2,SNACKPACK_CHOCOLATE,4436
baseline,2,SNACKPACK_PISTACHIO,3890
baseline,2,SNACKPACK_RASPBERRY,4162
baseline,2,SNACKPACK_STRAWBERRY,833
baseline,2,SNACKPACK_VANILLA,726
baseline,2,TRANSLATOR_ASTRO_BLACK,394
baseline,2,TRANSLATOR_ECLIPSE_CHARCOAL,11333
baseline,2,TRANSLATOR_GRAPHITE_MIST,0
baseline,2,TRANSLATOR_SPACE_GRAY,9618
baseline,2,TRANSLATOR_VOID_BLUE,5339
baseline,2,UV_VISOR_AMBER,8148
baseline,2,UV_VISOR_MAGENTA,3657
baseline,2,UV_VISOR_ORANGE,3877
baseline,2,UV_VISOR_RED,1233
baseline,2,UV_VISOR_YELLOW,-1572
baseline,3,GALAXY_SOUNDS_BLACK_HOLES,6117
baseline,3,GALAXY_SOUNDS_DARK_MATTER,-233
baseline,3,GALAXY_SOUNDS_PLANETARY_RINGS,1824
baseline,3,GALAXY_SOUNDS_SOLAR_FLAMES,4490
baseline,3,GALAXY_SOUNDS_SOLAR_WINDS,8446
baseline,3,MICROCHIP_CIRCLE,-1208
baseline,3,MICROCHIP_OVAL,5001
baseline,3,MICROCHIP_RECTANGLE,3904
baseline,3,MICROCHIP_SQUARE,-965
baseline,3,MICROCHIP_TRIANGLE,-938
baseline,3,OXYGEN_SHAKE_CHOCOLATE,9843
baseline,3,OXYGEN_SHAKE_EVENING_BREATH,7291
baseline,3,OXYGEN_SHAKE_GARLIC,3578
baseline,3,OXYGEN_SHAKE_MINT,0
baseline,3,OXYGEN_SHAKE_MORNING_BREATH,2159
baseline,3,PANEL_1X2,0
baseline,3,PANEL_1X4,4248
baseline,3,PANEL_2X2,3889
baseline,3,PANEL_2X4,10695
baseline,3,PANEL_4X4,0
baseline,3,PEBBLES_L,17538
baseline,3,PEBBLES_M,0
baseline,3,PEBBLES_S,25535
baseline,3,PEBBLES_XL,14302
baseline,3,PEBBLES_XS,0
baseline,3,ROBOT_DISHES,10340
baseline,3,ROBOT_IRONING,0
baseline,3,ROBOT_LAUNDRY,1990
baseline,3,ROBOT_MOPPING,0
baseline,3,ROBOT_VACUUMING,0
baseline,3,SLEEP_POD_COTTON,50
baseline,3,SLEEP_POD_LAMB_WOOL,0
baseline,3,SLEEP_POD_NYLON,6626
baseline,3,SLEEP_POD_POLYESTER,2139
baseline,3,SLEEP_POD_SUEDE,5962
baseline,3,SNACKPACK_CHOCOLATE,9078
baseline,3,SNACKPACK_PISTACHIO,5083
baseline,3,SNACKPACK_RASPBERRY,5574
baseline,3,SNACKPACK_STRAWBERRY,930
baseline,3,SNACKPACK_VANILLA,-56
baseline,3,TRANSLATOR_ASTRO_BLACK,220
