event_type,source,source_group,target,target_group,same_group,feature,direction,threshold_name,threshold,side,horizon,count_total,count_min_day,mean_all,median_all,win_all,mean_day2,mean_day3,mean_day4,win_day2,win_day3,win_day4,worst_day_mean,rank_score
cross_product_pressure,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,OXYGEN_SHAKE_GARLIC,OXYGEN,True,ret100,low,low_05,-150.0,long,1000,1466,314,227.57844474761256,224.0,0.8431105047748977,256.288920056101,158.0700636942675,230.66514806378132,0.8373071528751753,0.8280254777070064,0.8633257403189066,158.0700636942675,971.6720815838389
cross_product_pressure,GALAXY_SOUNDS_DARK_MATTER,GALAXY,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,True,ret100,high,high_95,171.5,long,1000,1328,250,183.78840361445782,146.0,0.7899096385542169,218.212,180.08382352941177,168.49497487437185,0.788,0.7720588235294118,0.821608040201005,168.49497487437185,957.2492586620943
cross_product_pressure,MICROCHIP_SQUARE,MICROCHIP,MICROCHIP_OVAL,MICROCHIP,True,ret100,low,low_10,-259.5,short,1000,2526,324,230.56809184481392,219.0,0.7980997624703088,146.83333333333334,253.05640535372848,233.6885813148789,0.558641975308642,0.7141491395793499,0.9411764705882353,146.83333333333334,918.140394456304
cross_product_pressure,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,True,ret100,low,low_10,-142.0,long,1000,2482,662,205.13295729250603,197.0,0.7731668009669621,181.27153284671533,151.84441087613294,250.61497797356827,0.8291970802919708,0.6374622356495468,0.8185022026431719,151.84441087613294,917.7502209642023
cross_product_pressure,MICROCHIP_TRIANGLE,MICROCHIP,MICROCHIP_OVAL,MICROCHIP,True,micro_minus_mid,high,high_95,0.75,short,1000,1251,56,170.89768185451638,153.0,0.7953637090327738,167.2982456140351,384.76785714285717,160.55360281195078,0.7192982456140351,0.75,0.8014059753954306,160.55360281195078,910.8093030148727
cross_product_pressure,MICROCHIP_TRIANGLE,MICROCHIP,MICROCHIP_OVAL,MICROCHIP,True,imbalance1,high,high_95,0.3333333333333333,short,1000,1316,74,171.0744680851064,152.0,0.7948328267477204,155.94594594594594,352.68918918918916,160.52654109589042,0.7027027027027027,0.7297297297297297,0.8047945205479452,155.94594594594594,890.3535699280258
cross_product_pressure,SLEEP_POD_COTTON,SLEEP,SLEEP_POD_POLYESTER,SLEEP,True,ret100,high,high_95,202.5,long,1000,1384,244,207.8735549132948,191.0,0.7507225433526011,267.0204081632653,193.20901639344262,160.7820299500832,0.6753246753246753,0.7868852459016393,0.8036605657237936,160.7820299500832,873.0975592080923
cross_product_pressure,MICROCHIP_SQUARE,MICROCHIP,MICROCHIP_OVAL,MICROCHIP,True,ret50,low,low_10,-180.0,short,1000,2594,375,206.05589822667696,199.0,0.78218966846569,141.888,203.01068999028183,228.91008403361346,0.5333333333333333,0.7084548104956269,0.9243697478991597,141.888,872.4778724997344
cross_product_pressure,PEBBLES_M,PEBBLES,PEBBLES_XS,PEBBLES,True,ret50,low,low_10,-130.0,short,1000,2549,663,175.98273832875637,233.0,0.7273440564927423,157.423900789177,260.2307692307692,136.54854854854855,0.7204058624577226,0.7843137254901961,0.6956956956956957,136.54854854854855,779.0335958213499
cross_product_pressure,MICROCHIP_RECTANGLE,MICROCHIP,MICROCHIP_OVAL,MICROCHIP,True,ret100,low,low_05,-215.0,short,1000,1317,374,227.66970387243737,298.0,0.7593014426727411,135.6715063520871,312.5280612244898,274.2647058823529,0.6025408348457351,0.8035714285714286,0.9438502673796791,135.6715063520871,740.0505401299682
