case,kind,product_under_test,day,product,pnl
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,GALAXY_SOUNDS_BLACK_HOLES,-17410
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,GALAXY_SOUNDS_DARK_MATTER,5538
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,GALAXY_SOUNDS_PLANETARY_RINGS,23700
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,GALAXY_SOUNDS_SOLAR_WINDS,965
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,MICROCHIP_CIRCLE,523
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,MICROCHIP_OVAL,4939
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,MICROCHIP_RECTANGLE,16141
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,MICROCHIP_SQUARE,1776
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,MICROCHIP_TRIANGLE,5262
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,OXYGEN_SHAKE_CHOCOLATE,9314
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,OXYGEN_SHAKE_EVENING_BREATH,2117
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,OXYGEN_SHAKE_GARLIC,-1803
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,OXYGEN_SHAKE_MINT,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,OXYGEN_SHAKE_MORNING_BREATH,4125
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PANEL_1X2,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PANEL_1X4,16825
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PANEL_2X2,7060
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PANEL_2X4,1449
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PANEL_4X4,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PEBBLES_L,20786
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PEBBLES_M,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PEBBLES_S,20129
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PEBBLES_XL,-38
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,PEBBLES_XS,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,ROBOT_DISHES,8067
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,ROBOT_IRONING,14509
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,ROBOT_LAUNDRY,-1687
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,ROBOT_MOPPING,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,ROBOT_VACUUMING,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SLEEP_POD_COTTON,13278
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SLEEP_POD_LAMB_WOOL,7141
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SLEEP_POD_NYLON,2191
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SLEEP_POD_POLYESTER,7349
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SLEEP_POD_SUEDE,15022
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SNACKPACK_CHOCOLATE,4884
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SNACKPACK_PISTACHIO,7750
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SNACKPACK_RASPBERRY,13450
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SNACKPACK_STRAWBERRY,2606
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,SNACKPACK_VANILLA,6080
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,TRANSLATOR_ASTRO_BLACK,842
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,TRANSLATOR_ECLIPSE_CHARCOAL,11781
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,TRANSLATOR_GRAPHITE_MIST,226
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,TRANSLATOR_SPACE_GRAY,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,TRANSLATOR_VOID_BLUE,5339
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,UV_VISOR_AMBER,8596
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,UV_VISOR_MAGENTA,17813
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,UV_VISOR_ORANGE,4325
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,UV_VISOR_RED,1681
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,2,UV_VISOR_YELLOW,4356
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,GALAXY_SOUNDS_BLACK_HOLES,-6533
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,GALAXY_SOUNDS_DARK_MATTER,1162
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,GALAXY_SOUNDS_PLANETARY_RINGS,2414
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,GALAXY_SOUNDS_SOLAR_FLAMES,9240
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,GALAXY_SOUNDS_SOLAR_WINDS,13780
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,MICROCHIP_CIRCLE,-862
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,MICROCHIP_OVAL,5347
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,MICROCHIP_RECTANGLE,3904
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,MICROCHIP_SQUARE,-619
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,MICROCHIP_TRIANGLE,-592
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,OXYGEN_SHAKE_CHOCOLATE,10434
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,OXYGEN_SHAKE_EVENING_BREATH,7882
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,OXYGEN_SHAKE_GARLIC,4170
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,OXYGEN_SHAKE_MINT,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,OXYGEN_SHAKE_MORNING_BREATH,2750
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PANEL_1X2,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PANEL_1X4,4839
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PANEL_2X2,5525
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PANEL_2X4,11286
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PANEL_4X4,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PEBBLES_L,3870
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PEBBLES_M,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PEBBLES_S,5188
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PEBBLES_XL,15026
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,PEBBLES_XS,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,ROBOT_DISHES,10932
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,ROBOT_IRONING,-194
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,ROBOT_LAUNDRY,2580
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,ROBOT_MOPPING,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,ROBOT_VACUUMING,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SLEEP_POD_COTTON,10402
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SLEEP_POD_LAMB_WOOL,6585
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SLEEP_POD_NYLON,7216
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SLEEP_POD_POLYESTER,2139
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SLEEP_POD_SUEDE,6553
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SNACKPACK_CHOCOLATE,9670
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SNACKPACK_PISTACHIO,6570
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SNACKPACK_RASPBERRY,10530
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SNACKPACK_STRAWBERRY,2710
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,SNACKPACK_VANILLA,7334
