case,kind,product,day2,day3,day4,total,delta,min_day,status,error
mm_ask_off__PEBBLES_XL,mm_ask_off,PEBBLES_XL,348766,195621,360422,904809,36331,195621,ok,
mm_bid_off__MICROCHIP_OVAL,mm_bid_off,MICROCHIP_OVAL,307266,238922,353972,900160,31682,238922,ok,
mm_ask_off__OXYGEN_SHAKE_GARLIC,mm_ask_off,OXYGEN_SHAKE_GARLIC,328012,219959,349288,897259,28781,219959,ok,
mm_ask_off__MICROCHIP_SQUARE,mm_ask_off,MICROCHIP_SQUARE,329073,258938,307072,895083,26605,258938,ok,
mm_ask_off__GALAXY_SOUNDS_BLACK_HOLES,mm_ask_off,GALAXY_SOUNDS_BLACK_HOLES,328962,225130,336525,890617,22139,225130,ok,
free_add__TRANSLATOR_ECLIPSE_CHARCOAL,free_add,TRANSLATOR_ECLIPSE_CHARCOAL,292220,248914,342346,883480,15002,248914,ok,
mm_bid_off__MICROCHIP_TRIANGLE,mm_bid_off,MICROCHIP_TRIANGLE,295760,241076,341250,878086,9608,241076,ok,
free_add__ROBOT_VACUUMING,free_add,ROBOT_VACUUMING,304830,239320,333322,877472,8994,239320,ok,
free_add__ROBOT_MOPPING,free_add,ROBOT_MOPPING,311316,220642,344240,876198,7720,220642,ok,
mm_bid_off__ROBOT_IRONING,mm_bid_off,ROBOT_IRONING,296748,246560,332472,875780,7302,246560,ok,
free_add__GALAXY_SOUNDS_BLACK_HOLES,free_add,GALAXY_SOUNDS_BLACK_HOLES,321844,246108,307530,875482,7004,246108,ok,
free_add__SLEEP_POD_POLYESTER,free_add,SLEEP_POD_POLYESTER,316854,223070,335014,874938,6460,223070,ok,
mm_bid_off__UV_VISOR_AMBER,mm_bid_off,UV_VISOR_AMBER,311924,235644,326566,874134,5656,235644,ok,
mm_ask_off__UV_VISOR_RED,mm_ask_off,UV_VISOR_RED,312488,220088,341296,873872,5394,220088,ok,
mm_ask_off__PANEL_2X4,mm_ask_off,PANEL_2X4,309950,220462,340753,871165,2687,220462,ok,
mm_ask_off__SLEEP_POD_SUEDE,mm_ask_off,SLEEP_POD_SUEDE,301630,230090,339034,870754,2276,230090,ok,
free_add__PEBBLES_XL,free_add,PEBBLES_XL,361296,221074,287242,869612,1134,221074,ok,
mm_bid_off__TRANSLATOR_ASTRO_BLACK,mm_bid_off,TRANSLATOR_ASTRO_BLACK,304610,233602,331291,869503,1025,233602,ok,
mm_bid_off__ROBOT_LAUNDRY,mm_bid_off,ROBOT_LAUNDRY,305456,230550,331438,867444,-1034,230550,ok,
mm_ask_off__SNACKPACK_STRAWBERRY,mm_ask_off,SNACKPACK_STRAWBERRY,307448,225682,334108,867238,-1240,225682,ok,
free_drop__SNACKPACK_PISTACHIO,free_drop,SNACKPACK_PISTACHIO,303176,224550,338176,865902,-2576,224550,ok,
free_add__SNACKPACK_CHOCOLATE,free_add,SNACKPACK_CHOCOLATE,308734,223354,333276,865364,-3114,223354,ok,
free_add__TRANSLATOR_VOID_BLUE,free_add,TRANSLATOR_VOID_BLUE,314168,218002,333148,865318,-3160,218002,ok,
mm_ask_off__ROBOT_DISHES,mm_ask_off,ROBOT_DISHES,298744,217405,347894,864043,-4435,217405,ok,
free_drop__PANEL_2X2,free_drop,PANEL_2X2,306920,220688,335020,862628,-5850,220688,ok,
mm_ask_off__SLEEP_POD_NYLON,mm_ask_off,SLEEP_POD_NYLON,293040,227825,341131,861996,-6482,227825,ok,
mm_ask_off__MICROCHIP_CIRCLE,mm_ask_off,MICROCHIP_CIRCLE,297958,220830,342906,861694,-6784,220830,ok,
mm_drop__ROBOT_LAUNDRY,mm_drop,ROBOT_LAUNDRY,308274,222866,329641,860781,-7697,222866,ok,
mm_bid_off__UV_VISOR_ORANGE,mm_bid_off,UV_VISOR_ORANGE,301928,222309,336215,860452,-8026,222309,ok,
free_add__OXYGEN_SHAKE_MORNING_BREATH,free_add,OXYGEN_SHAKE_MORNING_BREATH,305718,226056,328224,859998,-8480,226056,ok,
mm_drop__SNACKPACK_STRAWBERRY,mm_drop,SNACKPACK_STRAWBERRY,303982,222736,333030,859748,-8730,222736,ok,
mm_bid_off__TRANSLATOR_ECLIPSE_CHARCOAL,mm_bid_off,TRANSLATOR_ECLIPSE_CHARCOAL,291068,241066,327543,859677,-8801,241066,ok,
free_drop__UV_VISOR_YELLOW,free_drop,UV_VISOR_YELLOW,301108,225935,332410,859453,-9025,225935,ok,
mm_drop__MICROCHIP_SQUARE,mm_drop,MICROCHIP_SQUARE,304812,226066,327908,858786,-9692,226066,ok,
mm_bid_off__OXYGEN_SHAKE_MORNING_BREATH,mm_bid_off,OXYGEN_SHAKE_MORNING_BREATH,292814,237104,328827,858745,-9733,237104,ok,
mm_drop__TRANSLATOR_ASTRO_BLACK,mm_drop,TRANSLATOR_ASTRO_BLACK,305746,224636,328294,858676,-9802,224636,ok,
mm_drop__TRANSLATOR_ECLIPSE_CHARCOAL,mm_drop,TRANSLATOR_ECLIPSE_CHARCOAL,294806,235235,328505,858546,-9932,235235,ok,
mm_drop__OXYGEN_SHAKE_GARLIC,mm_drop,OXYGEN_SHAKE_GARLIC,308390,221277,327900,857567,-10911,221277,ok,
mm_drop__UV_VISOR_RED,mm_drop,UV_VISOR_RED,304906,216400,335864,857170,-11308,216400,ok,
mm_drop__MICROCHIP_CIRCLE,mm_drop,MICROCHIP_CIRCLE,306064,226308,324736,857108,-11370,226308,ok,
mm_ask_off__TRANSLATOR_ECLIPSE_CHARCOAL,mm_ask_off,TRANSLATOR_ECLIPSE_CHARCOAL,299022,228989,329052,857063,-11415,228989,ok,
mm_drop__MICROCHIP_OVAL,mm_drop,MICROCHIP_OVAL,301648,220100,335066,856814,-11664,220100,ok,
mm_bid_off__GALAXY_SOUNDS_PLANETARY_RINGS,mm_bid_off,GALAXY_SOUNDS_PLANETARY_RINGS,272332,223281,360572,856185,-12293,223281,ok,
