group,a,b,n_full,corr_mid_full,spread_mean_full,spread_sd_full,adf_t_full,half_life_full,wf_pnl_total,wf_sharpe_mean,wf_sharpe_min,wf_trades,d2to3_pnl,d2to3_sharpe,d2to3_trades,d2to3_win_pct,d3to4_pnl,d3to4_sharpe,d3to4_trades,d3to4_win_pct,pass_walkforward
SNACKPACK,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,30000,0.47043771895497266,347.52773333333334,200.08913367345951,-3.734162971494666,804.4891861931494,1746.5,1.681464427021401,1.6598696069874317,10,664.5,1.7030592470553703,3,0.5161290322580645,1082.0,1.6598696069874317,7,0.5060280221570544,True
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,30000,0.645802493731828,-2368.7606333333333,729.954675798618,-3.132951864054693,2827.730451894232,2790.5,1.084041501631491,1.0750637251075637,10,1273.5,1.0930192781554182,2,0.5070952299538383,1517.0,1.0750637251075637,8,0.5063555913113436,True
SNACKPACK,SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,30000,-0.4973612095209893,-581.96815,309.2881529317132,-3.558941505692284,811.4414032078523,2440.0,1.3744068968599517,1.0236658665918785,10,1657.5,1.7251479271280248,6,0.5155936531096115,782.5,1.0236658665918785,4,0.5120799777839489,True
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,30000,0.09792529661017574,-773.93965,726.9025315447807,-1.6439515844217012,3390.782717132836,2951.0,1.3927803538368888,1.317016590462286,1,1687.0,1.317016590462286,1,0.5106295993458708,1264.0,1.4685441172114915,0,0.5068016450490351,False
ROBOT,ROBOT_VACUUMING,ROBOT_IRONING,30000,0.7842396148598817,465.20551666666665,483.39319060288085,-2.5753687229690176,1687.2598086426149,1652.0,1.147397558652372,1.114060707215084,2,575.0,1.1807344100896597,1,0.5152979066022544,1077.0,1.114060707215084,1,0.5079821200510856,False
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,30000,-0.3352198437009315,-655.0277333333333,811.616185304069,-1.727794313240114,3916.15584091638,3785.0,1.6701612490170823,0.9393479843052899,6,1183.0,0.9393479843052899,3,0.5044869877355669,2602.0,2.4009745137288747,3,0.5126771810740667,False
SNACKPACK,SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,30000,0.02194549909238751,19.4904,243.66311314567085,-3.6666358266649226,773.4536135156958,2151.0,1.784631526602163,0.9334157821103789,9,1493.0,2.6358472710939473,6,0.5120357634112792,658.0,0.9334157821103789,3,0.5063020722067935,False
SLEEP_POD,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,30000,0.8596166475986896,-443.14051666666666,503.00303996437214,-2.8775396079120763,1293.242196874792,2727.5,1.016167372127625,0.9318467080354815,6,1374.5,1.1004880362197684,3,0.5090468196232046,1353.0,0.9318467080354815,3,0.507168458781362,False
SNACKPACK,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,30000,-0.9258729584924151,-253.93081666666666,372.17184152216527,-2.9188574544823056,1169.786605447079,2456.0,1.4104052962486824,0.9115489071979874,9,1529.0,1.9092616852993771,5,0.5165723524656427,927.0,0.9115489071979874,4,0.5030664945125888,False
SNACKPACK,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,30000,-0.41361094370431406,628.7964333333333,460.5296422171023,-3.1480709800005062,1160.8549255926873,2290.0,1.058216674242619,0.8835031961176263,7,1330.5,1.2329301523676115,4,0.5032608695652174,959.5,0.8835031961176263,3,0.5001051082615093,False
