case,group,method,target,anchor,window,entry_z,day,pnl,trades
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,2.5,2,320.0,26
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,2.5,3,-7730.0,33
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,2.5,4,-7740.0,34
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,2.5,2,-90.0,27
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,2.5,3,-8660.0,33
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,2.5,4,-6340.0,33
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,3.0,2,1440.0,19
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,3.0,3,-6130.0,24
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,3.0,4,-3930.0,22
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,3.0,2,2740.0,20
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,3.0,3,-8030.0,26
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,500,3.0,4,-3690.0,20
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,2.5,2,5130.0,16
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,2.5,3,630.0,12
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,2.5,4,-5850.0,16
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,2.5,2,5690.0,15
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,2.5,3,-2700.0,15
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,2.5,4,-7580.0,14
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,3.0,2,5290.0,8
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,3.0,3,230.0,6
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,3.0,4,-3560.0,10
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,3.0,2,6390.0,8
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,3.0,3,-830.0,6
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,3.0,4,-4570.0,9
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,2.5,2,2230.0,9
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,2.5,3,-3755.0,6
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,2.5,4,-5720.0,9
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,2.5,2,2340.0,9
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,2.5,3,-3005.0,6
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,2.5,4,-8570.0,10
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,3.0,2,3610.0,5
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,3.0,3,-1745.0,4
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,3.0,4,-5410.0,5
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,3.0,2,3530.0,5
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,3.0,3,-4215.0,5
tls__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2000,3.0,4,-5260.0,6
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,2.5,2,1670.0,24
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,2.5,3,920.0,21
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,2.5,4,-4230.0,24
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,2.5,2,-270.0,32
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,2.5,3,-680.0,32
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,2.5,4,-7100.0,33
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,3.0,2,1790.0,12
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,3.0,3,240.0,13
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,3.0,4,-960.0,15
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,3.0,2,3420.0,19
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,3.0,3,1010.0,20
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,3.0,4,-4350.0,20
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,2.5,2,2500.0,12
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,2.5,3,4470.0,11
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,2.5,4,10.0,8
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,2.5,2,-1555.0,16
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,2.5,3,3800.0,14
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,2.5,4,-4780.0,15
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,2,3490.0,9
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,3,5380.0,8
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,4,710.0,5
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,2,2030.0,11
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,3,3680.0,11
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,4,860.0,7
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,2,-1780.0,5
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,3,3320.0,4
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,4,-180.0,6
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,2,-260.0,6
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,3,3660.0,9
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,4,-70.0,7
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,2,1250.0,1
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,3,3690.0,3
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,4,1320.0,3
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,2,-580.0,5
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,3,-220.0,3
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,4,0.0,4
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,2,2480.0,23
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,3,-3880.0,23
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,4,-150.0,22
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,2,2130.0,29
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,3,-3040.0,31
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,4,-3940.0,33
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,2,760.0,10
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,3,-3060.0,12
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,4,1410.0,14
