group,intra_group_corr,intra_mid_corr,spread_to_vol,median_spread,ret_vol,depth,lively_ticks_pct,mid_range,score_d2,rank_d2,score_d3,rank_d3,score_d4,rank_d4,score_mean,score_min,score_cv,rank_worst,rank_mean,stable_tradeability_score
SNACKPACK,0.3741632794469259,0.4168248889970652,0.40647225023756056,17.0,6.910028254038529,160.0,0.9605360536053605,784.6999999999999,23.491504532332616,1.0,23.412128695354376,1.0,23.21725340217606,1.0,23.373628876621016,23.21725340217606,0.0060376102712280085,1.0,1.0,23.21725340217606
PEBBLES,0.2071320969318073,0.45056356511907064,1.3929461795467726,13.0,18.108300334108048,76.0,0.9841250791745842,2626.7666666666664,21.3727590268284,2.0,21.711928017728642,2.0,21.65423737994895,2.0,21.57964147483533,21.3727590268284,0.008409436421514729,2.0,2.0,10.6863795134142
UV_VISOR,0.009902353119294046,0.3070663064548593,0.7561299954728481,13.666666666666666,10.323229238566363,99.33333333333333,0.9733840050671735,1528.8666666666668,0.64870448025356,3.0,0.8603417723636014,3.0,0.6578906977755845,6.0,0.722312316797582,0.64870448025356,0.16561426798740259,6.0,4.0,0.10811741337559333
TRANSLATOR,0.009334363231384882,0.44522421925136063,1.103536150770296,9.0,9.931825356932665,60.0,0.9724839150581724,1457.0666666666666,0.5368768300638722,5.0,0.6762798141754024,4.0,0.5903624597114946,7.0,0.6011730346502563,0.5368768300638722,0.11698369693859874,7.0,5.333333333333333,0.0766966900091246
SLEEP_POD,0.009189615739306496,0.5114034686573415,1.1432976943946391,9.666666666666666,11.046343934314935,60.0,0.976210954428776,1680.5333333333335,0.6234157583110779,4.0,0.5382882117877292,9.0,0.6878270497469574,5.0,0.6165103399485882,0.5382882117877292,0.12166575665616405,9.0,6.0,0.059809801309747695
MICROCHIP,0.010064753972647575,0.4479540227906713,1.6752661409502114,8.333333333333334,13.92270935927211,32.0,0.9783244991165784,2098.2000000000003,0.4746019262644094,6.0,0.6495181715012374,5.0,0.4662035068473108,9.0,0.5301078682043192,0.4662035068473108,0.19523871412051472,9.0,6.666666666666667,0.051800389649701205
PANEL,0.006706312054219967,0.4235169669573244,1.0957630633453157,9.0,9.861867570107842,62.0,0.973083975064173,1635.7333333333333,0.392861099800048,7.0,0.5552360320276155,8.0,0.38100867753042483,10.0,0.4430352697860294,0.38100867753042483,0.21973252656216927,10.0,8.333333333333334,0.038100867753042486
GALAXY_SOUNDS,0.007136208184412278,0.39249914819275067,0.7931040694664064,13.666666666666666,10.83592987756967,99.33333333333333,0.9758109144247759,1705.6666666666667,0.30117004233933864,9.0,0.6124180613265786,6.0,0.7249341608705423,4.0,0.5461740881788198,0.30117004233933864,0.40190717854961794,9.0,6.333333333333333,0.03346333803770429
OXYGEN_SHAKE,0.007878092425002777,0.36141778353298365,0.8496480050189271,12.666666666666666,10.741072030061192,99.33333333333333,0.8752075207520752,1601.2666666666667,0.2869713341967318,10.0,0.6111303035953443,7.0,0.8838524903881965,3.0,0.5939847093934242,0.2869713341967318,0.503059640078214,10.0,6.666666666666667,0.02869713341967318
ROBOT,0.008753505590254134,0.41240408231738995,1.6059172483321722,7.0,11.241420738325203,32.0,0.8501583491682502,1398.5333333333335,0.34910209431891376,8.0,0.28143547046801304,10.0,0.5136546016355836,8.0,0.38139738880750346,0.28143547046801304,0.31313956028902457,10.0,8.666666666666666,0.028143547046801304
