group,target,components,r2,resid_sd,adf_t,half_life,min_day_r2,max_day_resid_sd,max_day_half_life,max_beta_abs_dev,beta_stability_ratio,beta_GALAXY_SOUNDS_BLACK_HOLES,beta_GALAXY_SOUNDS_PLANETARY_RINGS,beta_GALAXY_SOUNDS_SOLAR_WINDS,beta_GALAXY_SOUNDS_SOLAR_FLAMES,beta_GALAXY_SOUNDS_DARK_MATTER,beta_SLEEP_POD_LAMB_WOOL,beta_SLEEP_POD_POLYESTER,beta_SLEEP_POD_NYLON,beta_SLEEP_POD_COTTON,beta_SLEEP_POD_SUEDE,beta_MICROCHIP_OVAL,beta_MICROCHIP_SQUARE,beta_MICROCHIP_RECTANGLE,beta_MICROCHIP_TRIANGLE,beta_MICROCHIP_CIRCLE,beta_PEBBLES_S,beta_PEBBLES_M,beta_PEBBLES_L,beta_PEBBLES_XL,beta_PEBBLES_XS,beta_ROBOT_MOPPING,beta_ROBOT_DISHES,beta_ROBOT_LAUNDRY,beta_ROBOT_IRONING,beta_ROBOT_VACUUMING,beta_UV_VISOR_AMBER,beta_UV_VISOR_ORANGE,beta_UV_VISOR_RED,beta_UV_VISOR_MAGENTA,beta_UV_VISOR_YELLOW,beta_TRANSLATOR_ASTRO_BLACK,beta_TRANSLATOR_ECLIPSE_CHARCOAL,beta_TRANSLATOR_GRAPHITE_MIST,beta_TRANSLATOR_VOID_BLUE,beta_TRANSLATOR_SPACE_GRAY,beta_PANEL_2X2,beta_PANEL_1X4,beta_PANEL_2X4,beta_PANEL_4X4,beta_PANEL_1X2,beta_OXYGEN_SHAKE_EVENING_BREATH,beta_OXYGEN_SHAKE_MINT,beta_OXYGEN_SHAKE_CHOCOLATE,beta_OXYGEN_SHAKE_GARLIC,beta_OXYGEN_SHAKE_MORNING_BREATH,beta_SNACKPACK_VANILLA,beta_SNACKPACK_PISTACHIO,beta_SNACKPACK_STRAWBERRY,beta_SNACKPACK_RASPBERRY,beta_SNACKPACK_CHOCOLATE
PEBBLES,PEBBLES_XL,"PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L",0.9999975186856395,2.798401945171829,-170.96266948846363,0.15955071234168988,0.9999805773593207,2.8199069002669916,0.18004259451348884,0.00020957267918197964,0.0002095682418530194,,,,,,,,,,,,,,,,-1.0000214391472266,-0.9999998347250504,-0.9999858592943925,,-0.9999937232082668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_XS,"PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL",0.9999962729087615,2.798401513794248,-170.96109964062776,0.15957673533042277,0.999966836091677,2.82048136113076,0.18016815039754452,0.00022711749004389326,0.00022710299801086654,,,,,,,,,,,,,,,,-1.000001262965582,-1.0000011203577623,-0.9999819266222981,-0.9999934149074293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_S,"PEBBLES_XS,PEBBLES_M,PEBBLES_L,PEBBLES_XL",0.9999887223737248,2.798296213303394,-170.9584448475789,0.1596205984877757,0.9998972776028281,2.819067037555162,0.18019503892741903,0.0003431847548843736,0.00034328007451358026,,,,,,,,,,,,,,,,,-0.9999516547632822,-0.9999269819242164,-0.999945873063566,-0.9999260066864886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_M,"PEBBLES_XS,PEBBLES_S,PEBBLES_L,PEBBLES_XL",0.9999834471151662,2.7983540409139693,-170.959451818611,0.15960391036466062,0.9999192917197406,2.8197794697654492,0.18018965374172213,0.00023915884233272067,0.00023919148566687153,,,,,,,,,,,,,,,,-0.9999929837777503,,-0.9999446509372105,-0.9999655981565597,-0.9999671920379148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_L,"PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_XL",0.9999797794506762,2.798408582766364,-170.95970701142375,0.15959989907329877,0.9999601822860448,2.819903656323187,0.180132310958686,0.0002352725442639203,0.0002352721663509274,,,,,,,,,,,,,,,,-1.0000072904444113,-0.9999836305404157,,-0.9999906030793709,-0.9999869786873763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNACKPACK,SNACKPACK_CHOCOLATE,"SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY",0.948366766254739,45.61176771221157,-5.234722228666657,374.8468104270276,0.9555669167192476,34.25385285459626,217.17378041131568,0.14041663083470257,0.4934831788737791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9220839634174486,0.11201970597494464,-0.14232697519491935,0.011221954820337733,
SNACKPACK,SNACKPACK_VANILLA,"SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY",0.9294155317310397,47.426507139104416,-5.07679572530355,388.2274927971441,0.9558850612756427,33.14106918308307,200.02757569444643,0.17170023839371396,0.5545580159406461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08894211904563754,-0.137002205949846,0.004893866341864648,-0.9969168649871363
MICROCHIP,MICROCHIP_OVAL,"MICROCHIP_CIRCLE,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",0.9186291866441225,442.68425481122904,-4.331150121141783,553.8200860513673,0.40574832890295864,285.7945469568459,469.13940036867456,0.7144177020493871,4.178551370023793,,,,,,,,,,,,-0.2334849099379994,0.45486445688078375,1.1261280731367855,-0.32945233665896806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV_VISOR,UV_VISOR_AMBER,"UV_VISOR_YELLOW,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",0.8963536556978277,320.9438163118693,-4.125566912297266,565.8925482617408,0.2985341210743385,213.36573535281138,557.1794966068026,0.3248932443519159,1.4503502668682589,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3846906515401016,-0.6172586641501482,-0.9697631823187595,-0.1666341749132924,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_POLYESTER,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,SLEEP_POD_COTTON",0.8878871310397407,327.3066485115772,-4.054885592322779,654.4175979423305,0.4112886261164348,319.1872159323097,752.0540148913783,0.4135801174264609,2.275190846254676,,,,,,-0.1455033575710156,,0.06990506069066837,0.5837152771996909,0.5185851713630322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROCHIP,MICROCHIP_TRIANGLE,"MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE",0.8587195678153418,313.2358208437501,-4.617389363780911,488.3178753011192,0.0604917641530992,351.42594400922735,686.2304942492591,0.3340110023907177,2.847453967452241,,,,,,,,,,,0.5638225951568632,0.03125980431842307,-0.2994843206979891,,-0.1771853112850118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROCHIP,MICROCHIP_SQUARE,"MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",0.8438648806774334,723.1926873838727,-3.4474064333519068,865.527702033693,0.45262522073012457,509.83817554103774,513.8301288319676,1.0553525623003877,3.1388884605392873,,,,,,,,,,,-0.6231300836088979,,-1.305479316949483,0.16662933657279475,-0.6668321009567469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV_VISOR,UV_VISOR_MAGENTA,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_RED",0.8147361484417052,264.0833293041973,-4.211688917967214,585.8903535001026,0.06273503873478947,291.81759214936926,783.2412863685572,0.7535621012917184,5.0699845540062585,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6565830090431027,-0.06530299043059871,-0.2874209095667269,,0.031230275469664674,,,,,,,,,,,,,,,,,,,,
MICROCHIP,MICROCHIP_RECTANGLE,"MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE",0.8078684880144803,329.6256830600202,-4.0760063936697515,629.3865580500469,0.29652856341980227,291.1529805305606,499.1020861644562,0.47725539724027616,4.774712093594205,,,,,,,,,,,0.25219468928333105,-0.2712089572427367,,-0.3316449079702204,0.10560729802045757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNACKPACK,SNACKPACK_STRAWBERRY,"SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY",0.7987878683451213,163.08409144921757,-4.862817168303646,443.38630028377213,0.7794844060643935,114.8227654138446,826.0396432651345,0.43141303320297475,0.6601044103395348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6199756067024471,-1.0092655194895161,,-1.3032960304327985,-1.819519057618865
