group,day,time_bin,ticks,spread_median,top_depth_median,imbalance_abs_mean,mid_ret_abs_mean,passive_fill_next5_pct,trade_count,trade_qty,trade_ticks_pct
GALAXY_SOUNDS,2,0,5000,13.0,38.0,0.013417049063265848,7.981381381381381,0.0662,90,245,0.018
GALAXY_SOUNDS,2,1,5000,13.0,38.0,0.018011527045360902,8.1822,0.0964,130,290,0.026
GALAXY_SOUNDS,2,2,5000,13.0,38.0,0.021195826518445985,8.2506,0.09,135,320,0.027
GALAXY_SOUNDS,2,3,5000,13.0,36.0,0.02103659976417471,8.3108,0.1016,135,365,0.027
GALAXY_SOUNDS,2,4,5000,13.0,36.0,0.021009372169933222,8.0967,0.0728,110,290,0.022
GALAXY_SOUNDS,2,5,5000,13.0,36.0,0.02435767021992599,8.4415,0.0864,125,285,0.025
GALAXY_SOUNDS,2,6,5000,13.0,36.0,0.020390962521074245,8.2954,0.0474,65,145,0.013
GALAXY_SOUNDS,2,7,5000,14.0,36.0,0.016789108445285594,8.5442,0.0854,120,265,0.024
GALAXY_SOUNDS,2,8,5000,14.0,36.0,0.018793329425240597,8.4795,0.0658,85,215,0.017
GALAXY_SOUNDS,2,9,5000,14.0,38.0,0.023294977426471446,8.569,0.105,150,390,0.03
GALAXY_SOUNDS,3,0,5000,14.0,36.0,0.020016416590088657,8.45025025025025,0.0938,135,370,0.027
GALAXY_SOUNDS,3,1,5000,14.0,36.0,0.023282469952546327,8.6243,0.0776,105,265,0.021
GALAXY_SOUNDS,3,2,5000,14.0,36.0,0.022656073416188853,8.7127,0.0808,115,290,0.023
GALAXY_SOUNDS,3,3,5000,14.0,37.0,0.027741939835834638,8.6726,0.0954,140,390,0.028
GALAXY_SOUNDS,3,4,5000,14.0,36.0,0.023471822716327362,8.5728,0.0676,95,235,0.019
GALAXY_SOUNDS,3,5,5000,14.0,36.0,0.015078873244501346,8.7833,0.0962,140,320,0.028
GALAXY_SOUNDS,3,6,5000,14.0,38.0,0.02264659795798322,8.6707,0.0886,125,275,0.025
GALAXY_SOUNDS,3,7,5000,14.0,36.0,0.01808575399194703,8.9173,0.0978,140,345,0.028
GALAXY_SOUNDS,3,8,5000,14.0,38.0,0.017269291487735653,9.071,0.116,160,440,0.032
