product,side,threshold,n,mean_mo20,good_pct20
PEBBLES_L,buy,0,447,-1.7919463087248322,0.47651006711409394
PEBBLES_L,buy,2,447,-1.7919463087248322,0.47651006711409394
PEBBLES_L,buy,4,447,-1.7919463087248322,0.47651006711409394
PEBBLES_L,buy,6,447,-1.7919463087248322,0.47651006711409394
PEBBLES_L,buy,8,447,-1.7919463087248322,0.47651006711409394
PEBBLES_L,sell,0,406,-0.4815270935960591,0.5295566502463054
PEBBLES_L,sell,2,406,-0.4815270935960591,0.5295566502463054
PEBBLES_L,sell,4,406,-0.4815270935960591,0.5295566502463054
PEBBLES_L,sell,6,406,-0.4815270935960591,0.5295566502463054
PEBBLES_L,sell,8,406,-0.4815270935960591,0.5295566502463054
PEBBLES_L,passive_buy,0,447,3.2997762863534676,0.5167785234899329
PEBBLES_L,passive_buy,2,447,3.2997762863534676,0.5167785234899329
PEBBLES_L,passive_buy,4,447,3.2997762863534676,0.5167785234899329
PEBBLES_L,passive_buy,6,447,3.2997762863534676,0.5167785234899329
PEBBLES_L,passive_buy,8,447,3.2997762863534676,0.5167785234899329
PEBBLES_L,passive_sell,0,406,5.634236453201971,0.5541871921182266
PEBBLES_L,passive_sell,2,406,5.634236453201971,0.5541871921182266
PEBBLES_L,passive_sell,4,406,5.634236453201971,0.5541871921182266
PEBBLES_L,passive_sell,6,406,5.634236453201971,0.5541871921182266
PEBBLES_L,passive_sell,8,406,5.634236453201971,0.5541871921182266
PEBBLES_M,buy,0,447,4.251677852348993,0.5324384787472036
PEBBLES_M,buy,2,447,4.251677852348993,0.5324384787472036
PEBBLES_M,buy,4,447,4.251677852348993,0.5324384787472036
PEBBLES_M,buy,6,447,4.251677852348993,0.5324384787472036
PEBBLES_M,buy,8,447,4.251677852348993,0.5324384787472036
PEBBLES_M,sell,0,406,-6.924876847290641,0.4630541871921182
PEBBLES_M,sell,2,406,-6.924876847290641,0.4630541871921182
PEBBLES_M,sell,4,406,-6.924876847290641,0.4630541871921182
PEBBLES_M,sell,6,406,-6.924876847290641,0.4630541871921182
PEBBLES_M,sell,8,406,-6.924876847290641,0.4630541871921182
PEBBLES_M,passive_buy,0,447,9.42841163310962,0.5525727069351231
PEBBLES_M,passive_buy,2,447,9.42841163310962,0.5525727069351231
PEBBLES_M,passive_buy,4,447,9.42841163310962,0.5525727069351231
PEBBLES_M,passive_buy,6,447,9.42841163310962,0.5525727069351231
PEBBLES_M,passive_buy,8,447,9.42841163310962,0.5525727069351231
PEBBLES_M,passive_sell,0,406,-0.7672413793103449,0.49507389162561577
PEBBLES_M,passive_sell,2,406,-0.7672413793103449,0.49507389162561577
PEBBLES_M,passive_sell,4,406,-0.7672413793103449,0.49507389162561577
PEBBLES_M,passive_sell,6,406,-0.7672413793103449,0.49507389162561577
PEBBLES_M,passive_sell,8,406,-0.7672413793103449,0.49507389162561577
PEBBLES_S,buy,0,447,-2.6521252796420582,0.5167785234899329
PEBBLES_S,buy,2,447,-2.6521252796420582,0.5167785234899329
PEBBLES_S,buy,4,447,-2.6521252796420582,0.5167785234899329
PEBBLES_S,buy,6,447,-2.6521252796420582,0.5167785234899329
PEBBLES_S,buy,8,447,-2.6521252796420582,0.5167785234899329
PEBBLES_S,sell,0,406,1.6403940886699508,0.5073891625615764
PEBBLES_S,sell,2,406,1.6403940886699508,0.5073891625615764
PEBBLES_S,sell,4,406,1.6403940886699508,0.5073891625615764
PEBBLES_S,sell,6,406,1.6403940886699508,0.5073891625615764
PEBBLES_S,sell,8,406,1.6403940886699508,0.5073891625615764
PEBBLES_S,passive_buy,0,447,1.7170022371364653,0.5302013422818792
PEBBLES_S,passive_buy,2,447,1.7170022371364653,0.5302013422818792
PEBBLES_S,passive_buy,4,447,1.7170022371364653,0.5302013422818792
PEBBLES_S,passive_buy,6,447,1.7170022371364653,0.5302013422818792
PEBBLES_S,passive_buy,8,447,1.7170022371364653,0.5302013422818792
PEBBLES_S,passive_sell,0,406,6.977832512315271,0.5517241379310345
PEBBLES_S,passive_sell,2,406,6.977832512315271,0.5517241379310345
PEBBLES_S,passive_sell,4,406,6.977832512315271,0.5517241379310345
