group,target,threshold,horizon,exit_rule,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold,max_hold
SLEEP_POD,SLEEP_POD_POLYESTER,1.5,500,zero_cross,3,48350.0,9570.0,3,48,0.7708333333333334,1007.2916666666666,460.8541666666667,500
SLEEP_POD,SLEEP_POD_POLYESTER,1.5,500,fixed_horizon,3,38580.0,6220.0,3,47,0.7446808510638298,820.8510638297872,485.74468085106383,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,500,fixed_horizon,3,36400.0,4690.0,3,26,0.7692307692307693,1400.0,486.0769230769231,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,500,zero_cross,3,35370.0,4690.0,3,26,0.7692307692307693,1360.3846153846155,484.5769230769231,500
SLEEP_POD,SLEEP_POD_POLYESTER,2.0,500,fixed_horizon,3,35000.0,6970.0,3,37,0.7297297297297297,945.9459459459459,483.27027027027026,500
SLEEP_POD,SLEEP_POD_POLYESTER,2.5,500,zero_cross,3,35000.0,4340.0,3,32,0.6875,1093.75,490.96875,500
SLEEP_POD,SLEEP_POD_POLYESTER,2.5,500,fixed_horizon,3,34870.0,4340.0,3,32,0.6875,1089.6875,491.9375,500
SLEEP_POD,SLEEP_POD_POLYESTER,2.0,500,zero_cross,3,34590.0,6970.0,3,37,0.7297297297297297,934.8648648648649,482.8378378378378,500
MICROCHIP,MICROCHIP_RECTANGLE,1.5,500,zero_cross,3,34250.0,11090.0,3,33,0.6060606060606061,1037.878787878788,410.969696969697,500
SLEEP_POD,SLEEP_POD_POLYESTER,1.5,200,zero_cross,3,34120.0,1780.0,3,102,0.5882352941176471,334.5098039215686,198.5392156862745,200
MICROCHIP,MICROCHIP_RECTANGLE,1.5,500,fixed_horizon,3,33740.0,10020.0,3,33,0.6060606060606061,1022.4242424242424,471.3636363636364,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,500,zero_cross,3,33650.0,3320.0,3,41,0.5853658536585366,820.7317073170732,489.7317073170732,500
SLEEP_POD,SLEEP_POD_POLYESTER,1.5,200,fixed_horizon,3,33380.0,1780.0,3,102,0.5882352941176471,327.2549019607843,199.11764705882354,200
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,500,fixed_horizon,3,33240.0,3320.0,3,41,0.5853658536585366,810.7317073170732,493.6341463414634,500
SLEEP_POD,SLEEP_POD_POLYESTER,2.5,200,fixed_horizon,3,32810.0,3480.0,3,69,0.5942028985507246,475.5072463768116,200.0,200
SLEEP_POD,SLEEP_POD_POLYESTER,2.5,200,zero_cross,3,32810.0,3480.0,3,69,0.5942028985507246,475.5072463768116,200.0,200
SLEEP_POD,SLEEP_POD_POLYESTER,2.0,200,fixed_horizon,3,30200.0,7160.0,3,81,0.5925925925925926,372.8395061728395,200.0,200
SLEEP_POD,SLEEP_POD_POLYESTER,2.0,200,zero_cross,3,30200.0,7160.0,3,81,0.5925925925925926,372.8395061728395,200.0,200
SLEEP_POD,SLEEP_POD_POLYESTER,3.0,500,fixed_horizon,3,26950.0,3810.0,3,23,0.6521739130434783,1171.7391304347825,500.0,500
SLEEP_POD,SLEEP_POD_POLYESTER,3.0,500,zero_cross,3,26950.0,3810.0,3,23,0.6521739130434783,1171.7391304347825,500.0,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,200,fixed_horizon,3,26230.0,3160.0,3,52,0.5769230769230769,504.4230769230769,198.75,200
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,200,zero_cross,3,26230.0,3160.0,3,52,0.5769230769230769,504.4230769230769,198.75,200
ROBOT,ROBOT_IRONING,1.5,500,zero_cross,3,25920.0,1800.0,3,46,0.5869565217391305,563.4782608695652,491.9130434782609,500
SLEEP_POD,SLEEP_POD_POLYESTER,1.5,100,fixed_horizon,3,25470.0,1660.0,3,194,0.5618556701030928,131.28865979381445,99.94845360824742,100
SLEEP_POD,SLEEP_POD_POLYESTER,1.5,100,zero_cross,3,25470.0,1660.0,3,194,0.5618556701030928,131.28865979381445,99.94845360824742,100
ROBOT,ROBOT_IRONING,1.5,500,fixed_horizon,3,25420.0,1800.0,3,46,0.5869565217391305,552.6086956521739,499.5652173913044,500
ROBOT,ROBOT_IRONING,1.5,200,fixed_horizon,3,24120.0,230.0,3,110,0.5818181818181818,219.27272727272728,199.54545454545453,200
ROBOT,ROBOT_IRONING,1.5,200,zero_cross,3,24120.0,230.0,3,110,0.5818181818181818,219.27272727272728,199.15454545454546,200
ROBOT,ROBOT_IRONING,2.0,200,fixed_horizon,3,22580.0,230.0,3,92,0.5869565217391305,245.43478260869566,199.45652173913044,200
ROBOT,ROBOT_IRONING,2.0,200,zero_cross,3,22580.0,230.0,3,92,0.5869565217391305,245.43478260869566,199.45652173913044,200
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.5,500,zero_cross,3,22490.0,1410.0,3,14,0.7142857142857143,1606.4285714285713,483.14285714285717,500
TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,500,fixed_horizon,3,22300.0,5290.0,3,27,0.6296296296296297,825.925925925926,500.0,500
TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,500,zero_cross,3,22300.0,5290.0,3,27,0.6296296296296297,825.925925925926,500.0,500
SLEEP_POD,SLEEP_POD_SUEDE,2.5,500,fixed_horizon,3,22240.0,2060.0,3,34,0.5882352941176471,654.1176470588235,493.29411764705884,500
SLEEP_POD,SLEEP_POD_SUEDE,2.5,500,zero_cross,3,22240.0,2060.0,3,34,0.5882352941176471,654.1176470588235,493.29411764705884,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.5,500,fixed_horizon,3,22230.0,1410.0,3,14,0.7142857142857143,1587.857142857143,484.2142857142857,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,200,fixed_horizon,3,22040.0,820.0,3,94,0.5531914893617021,234.46808510638297,198.24468085106383,200
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,200,zero_cross,3,22040.0,820.0,3,94,0.5531914893617021,234.46808510638297,198.24468085106383,200
UV_VISOR,UV_VISOR_MAGENTA,1.5,500,fixed_horizon,3,21230.0,4830.0,3,36,0.5833333333333334,589.7222222222222,498.44444444444446,500
ROBOT,ROBOT_IRONING,2.5,500,fixed_horizon,3,21210.0,2720.0,3,33,0.6363636363636364,642.7272727272727,498.5151515151515,500
ROBOT,ROBOT_IRONING,2.5,500,zero_cross,3,21210.0,2720.0,3,33,0.6363636363636364,642.7272727272727,498.5151515151515,500
SLEEP_POD,SLEEP_POD_POLYESTER,2.0,100,fixed_horizon,3,21200.0,2280.0,3,157,0.5987261146496815,135.03184713375796,100.0,100
SLEEP_POD,SLEEP_POD_POLYESTER,2.0,100,zero_cross,3,21200.0,2280.0,3,157,0.5987261146496815,135.03184713375796,100.0,100
ROBOT,ROBOT_IRONING,3.0,500,fixed_horizon,3,20790.0,1760.0,3,25,0.56,831.6,498.76,500
ROBOT,ROBOT_IRONING,3.0,500,zero_cross,3,20790.0,1760.0,3,25,0.56,831.6,498.76,500
ROBOT,ROBOT_IRONING,2.0,500,fixed_horizon,3,20530.0,1800.0,3,41,0.5365853658536586,500.7317073170732,499.5121951219512,500
