group,target,threshold,horizon,exit_rule,train_days,train_total_pnl,train_min_day_pnl,train_positive_days,train_total_trades,train_win_pct,train_avg_pnl_per_trade,candidate_id,test_day,candidate_set,days,all_days_total_pnl,all_days_min_day_pnl,all_days_positive_days,all_days_total_trades,win_pct,avg_pnl_per_trade,avg_hold,max_hold
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,500,fixed_horizon,2.0,15080.0,4690.0,2,15,0.7333333333333333,1005.3333333333334,GALAXY_SOUNDS|GALAXY_SOUNDS_SOLAR_FLAMES|thr=2|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
MICROCHIP,MICROCHIP_RECTANGLE,1.5,500,zero_cross,2.0,22680.0,11090.0,2,27,0.5925925925925926,840.0,MICROCHIP|MICROCHIP_RECTANGLE|thr=1.5|h=500|zero_cross,2,lodo_top_per_group,,,,,,,,,
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,3.0,500,fixed_horizon,2.0,10110.0,4160.0,2,22,0.6363636363636364,459.54545454545456,OXYGEN_SHAKE|OXYGEN_SHAKE_MINT|thr=3|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
PANEL,PANEL_2X2,2.0,500,fixed_horizon,2.0,22600.0,8650.0,2,32,0.6875,706.25,PANEL|PANEL_2X2|thr=2|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
PEBBLES,PEBBLES_M,1.5,500,fixed_horizon,2.0,41050.0,14010.0,2,39,0.6923076923076923,1052.5641025641025,PEBBLES|PEBBLES_M|thr=1.5|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
ROBOT,ROBOT_IRONING,3.0,500,fixed_horizon,2.0,19030.0,6880.0,2,21,0.5238095238095238,906.1904761904761,ROBOT|ROBOT_IRONING|thr=3|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,500,fixed_horizon,2.0,19210.0,9590.0,2,8,1.0,2401.25,SLEEP_POD|SLEEP_POD_LAMB_WOOL|thr=1.5|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
SNACKPACK,SNACKPACK_RASPBERRY,1.5,500,fixed_horizon,2.0,3380.0,1280.0,2,25,0.52,135.2,SNACKPACK|SNACKPACK_RASPBERRY|thr=1.5|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.5,500,fixed_horizon,2.0,27020.0,12190.0,2,19,0.7368421052631579,1422.1052631578948,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=2.5|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
UV_VISOR,UV_VISOR_MAGENTA,1.5,500,fixed_horizon,2.0,16400.0,5320.0,2,28,0.5357142857142857,585.7142857142857,UV_VISOR|UV_VISOR_MAGENTA|thr=1.5|h=500|fixed_horizon,2,lodo_top_per_group,,,,,,,,,
PEBBLES,PEBBLES_M,1.5,500,fixed_horizon,2.0,41050.0,14010.0,2,39,0.6923076923076923,1052.5641025641025,PEBBLES|PEBBLES_M|thr=1.5|h=500|fixed_horizon,2,lodo_top3_overall,,,,,,,,,
PEBBLES,PEBBLES_M,2.0,500,fixed_horizon,2.0,41050.0,14010.0,2,39,0.6923076923076923,1052.5641025641025,PEBBLES|PEBBLES_M|thr=2|h=500|fixed_horizon,2,lodo_top3_overall,,,,,,,,,
PEBBLES,PEBBLES_M,2.5,500,fixed_horizon,2.0,41050.0,14010.0,2,39,0.6923076923076923,1052.5641025641025,PEBBLES|PEBBLES_M|thr=2.5|h=500|fixed_horizon,2,lodo_top3_overall,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.5,100,fixed_horizon,2.0,18510.0,7730.0,2,62,0.6290322580645161,298.5483870967742,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=2.5|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.5,100,zero_cross,2.0,18510.0,7730.0,2,62,0.6290322580645161,298.5483870967742,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=2.5|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.0,100,fixed_horizon,2.0,16330.0,7310.0,2,107,0.5327102803738317,152.61682242990653,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=2|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.0,100,zero_cross,2.0,16330.0,7310.0,2,107,0.5327102803738317,152.61682242990653,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=2|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
PANEL,PANEL_2X2,2.0,100,fixed_horizon,2.0,15320.0,4700.0,2,140,0.5642857142857143,109.42857142857143,PANEL|PANEL_2X2|thr=2|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
PANEL,PANEL_2X2,2.0,100,zero_cross,2.0,15320.0,4700.0,2,140,0.5642857142857143,109.42857142857143,PANEL|PANEL_2X2|thr=2|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,100,fixed_horizon,2.0,9820.0,4170.0,2,17,0.8235294117647058,577.6470588235294,SLEEP_POD|SLEEP_POD_LAMB_WOOL|thr=1.5|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,100,zero_cross,2.0,9820.0,4170.0,2,17,0.8235294117647058,577.6470588235294,SLEEP_POD|SLEEP_POD_LAMB_WOOL|thr=1.5|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_COTTON,2.5,100,fixed_horizon,2.0,10420.0,3690.0,2,75,0.5733333333333334,138.93333333333334,SLEEP_POD|SLEEP_POD_COTTON|thr=2.5|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_COTTON,2.5,100,zero_cross,2.0,10420.0,3690.0,2,75,0.5733333333333334,138.93333333333334,SLEEP_POD|SLEEP_POD_COTTON|thr=2.5|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
ROBOT,ROBOT_DISHES,2.5,100,fixed_horizon,2.0,7000.0,3440.0,2,40,0.425,175.0,ROBOT|ROBOT_DISHES|thr=2.5|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
ROBOT,ROBOT_DISHES,2.5,100,zero_cross,2.0,7000.0,3440.0,2,40,0.425,175.0,ROBOT|ROBOT_DISHES|thr=2.5|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1.5,100,fixed_horizon,2.0,7660.0,3290.0,2,137,0.5036496350364964,55.91240875912409,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=1.5|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1.5,100,zero_cross,2.0,7660.0,3290.0,2,137,0.5036496350364964,55.91240875912409,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=1.5|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,50,fixed_horizon,2.0,7200.0,3210.0,2,26,0.6923076923076923,276.9230769230769,SLEEP_POD|SLEEP_POD_LAMB_WOOL|thr=1.5|h=50|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,50,zero_cross,2.0,7200.0,3210.0,2,26,0.6923076923076923,276.9230769230769,SLEEP_POD|SLEEP_POD_LAMB_WOOL|thr=1.5|h=50|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
ROBOT,ROBOT_IRONING,3.0,100,fixed_horizon,2.0,11610.0,2700.0,2,92,0.5434782608695652,126.19565217391305,ROBOT|ROBOT_IRONING|thr=3|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
ROBOT,ROBOT_IRONING,3.0,100,zero_cross,2.0,11610.0,2700.0,2,92,0.5434782608695652,126.19565217391305,ROBOT|ROBOT_IRONING|thr=3|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.0,50,fixed_horizon,2.0,7880.0,2630.0,2,199,0.5175879396984925,39.597989949748744,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=2|h=50|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.0,50,zero_cross,2.0,7880.0,2630.0,2,199,0.5175879396984925,39.597989949748744,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=2|h=50|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,100,fixed_horizon,2.0,7800.0,2460.0,2,25,0.64,312.0,TRANSLATOR|TRANSLATOR_VOID_BLUE|thr=2.5|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,100,zero_cross,2.0,7800.0,2460.0,2,25,0.64,312.0,TRANSLATOR|TRANSLATOR_VOID_BLUE|thr=2.5|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_POLYESTER,2.0,100,fixed_horizon,2.0,14220.0,2280.0,2,69,0.6231884057971014,206.08695652173913,SLEEP_POD|SLEEP_POD_POLYESTER|thr=2|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_POLYESTER,2.0,100,zero_cross,2.0,14220.0,2280.0,2,69,0.6231884057971014,206.08695652173913,SLEEP_POD|SLEEP_POD_POLYESTER|thr=2|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_POLYESTER,3.0,100,fixed_horizon,2.0,4870.0,1890.0,2,12,0.6666666666666666,405.8333333333333,SLEEP_POD|SLEEP_POD_POLYESTER|thr=3|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
SLEEP_POD,SLEEP_POD_POLYESTER,3.0,100,zero_cross,2.0,4870.0,1890.0,2,12,0.6666666666666666,405.8333333333333,SLEEP_POD|SLEEP_POD_POLYESTER|thr=3|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_VOID_BLUE,1.5,100,fixed_horizon,2.0,5080.0,1830.0,2,64,0.5,79.375,TRANSLATOR|TRANSLATOR_VOID_BLUE|thr=1.5|h=100|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_VOID_BLUE,1.5,100,zero_cross,2.0,5080.0,1830.0,2,64,0.5,79.375,TRANSLATOR|TRANSLATOR_VOID_BLUE|thr=1.5|h=100|zero_cross,2,lodo_fast_horizon_le_100,,,,,,,,,
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,2.5,50,fixed_horizon,2.0,8220.0,1730.0,2,114,0.5263157894736842,72.10526315789474,TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|thr=2.5|h=50|fixed_horizon,2,lodo_fast_horizon_le_100,,,,,,,,,
