fair,horizon,active_events,signed_mid_markout_mean,signed_mid_markout_win_rate,positive_markout_day_products,tested_day_products,cross_events,cross_edge_mean,cross_win_rate,passive_events,passive_edge_mean,passive_win_rate
depth_vwap_mid,1,47477,2.9509657307749015,0.6145712660867367,150,150,14932,0.7286364854004822,0.5215644253951246,47477,5.846957474145376,0.7072266571181836
depth_vwap_mid,5,47477,3.034890578595952,0.5532573667249405,141,150,14932,0.7109898205196893,0.5068309670506295,47477,5.9308823219664255,0.6013016829201508
depth_vwap_mid,20,47432,3.1460090234440883,0.5301273401922753,131,150,14931,1.127553412363539,0.5077355836849508,47432,6.041870467195142,0.5552369708213865
depth_vwap_mid,100,47088,2.9819699286442405,0.5116590214067278,104,150,14856,0.16569063004846532,0.49683629509962307,47088,5.877569656812776,0.5224260958205912
depth_vwap_mid,500,44880,3.8286207664884135,0.5066844919786097,93,150,14096,4.089883654937571,0.5080874006810443,44880,6.723596256684492,0.5114527629233512
popular_mid,1,1458087,0.040107689047361374,0.47812030420681345,91,150,1414410,-5.597247615613577,0.2892485205845547,1458087,5.697769406077964,0.6990200173240692
popular_mid,5,1457496,0.12695060569634498,0.49088230773875197,89,150,1413837,-5.512869234572302,0.3985508937734689,1457496,5.784570935357627,0.5985121056936006
popular_mid,20,1455283,0.36770992308712463,0.4971775249212696,84,150,1411707,-5.2582090334609095,0.45058925116897486,1455283,6.025218806239061,0.5524959750096716
popular_mid,100,1443392,1.7774471522635569,0.5025287655744247,92,150,1400146,-3.797255429076682,0.48171476403175095,1443392,7.434670553806589,0.5274526947634461
popular_mid,500,1383823,9.816321885096576,0.5129261473468789,96,150,1342572,4.458750815598717,0.5038642247864547,1383823,15.473102051346162,0.5241804768384396
wall_mid,1,47995,2.9287946661110533,0.6140431294926555,150,150,17252,0.7248145142592163,0.5197658242522606,47995,5.813772267944578,0.7064069173872278
wall_mid,5,47995,3.0104490051046984,0.5530992811751224,141,150,17252,0.6456063065151867,0.5050428935775563,47995,5.895426606938223,0.6009167621627253
wall_mid,20,47950,3.1318143899895725,0.5298852971845672,130,150,17251,0.9926381079357718,0.5080285200857921,47950,6.016652763295099,0.5551199165797706
wall_mid,100,47600,2.9854201680672268,0.5117857142857143,104,150,17167,0.7130832411021145,0.49857284324576223,47600,5.870031512605042,0.5224789915966387
wall_mid,500,45380,3.944226531511679,0.5068532393124725,94,150,16312,3.6368011280039236,0.506436978911231,45380,6.827930806522697,0.5115689731159101
