candidate_id,lens,group,target,label,test_day,center_mode,threshold,horizon,exit_rule,slope_mode,vol_mode,sigma_train,pnl,trades,wins,avg_hold,max_hold
v3|GALAXY_SOUNDS|GALAXY_SOUNDS_SOLAR_FLAMES,v3_current,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,current v3 GALAXY_SOUNDS_SOLAR_FLAMES,2,static,2.0,500,fixed,any,any,423.1705719697622,4640.0,2,1,500.0,500
v3|GALAXY_SOUNDS|GALAXY_SOUNDS_SOLAR_FLAMES,v3_current,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,current v3 GALAXY_SOUNDS_SOLAR_FLAMES,3,static,2.0,500,fixed,any,any,423.1705719697622,4490.0,2,1,500.0,500
v3|GALAXY_SOUNDS|GALAXY_SOUNDS_SOLAR_FLAMES,v3_current,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,current v3 GALAXY_SOUNDS_SOLAR_FLAMES,4,static,2.0,500,fixed,any,any,423.1705719697622,0.0,0,0,0.0,0
v3|MICROCHIP|MICROCHIP_RECTANGLE,v3_current,MICROCHIP,MICROCHIP_RECTANGLE,current v3 MICROCHIP_RECTANGLE,2,static,1.5,500,zero_cross,any,any,329.6256830600202,16140.0,7,5,401.14285714285717,500
v3|MICROCHIP|MICROCHIP_RECTANGLE,v3_current,MICROCHIP,MICROCHIP_RECTANGLE,current v3 MICROCHIP_RECTANGLE,3,static,1.5,500,zero_cross,any,any,329.6256830600202,3950.0,7,5,377.85714285714283,500
v3|MICROCHIP|MICROCHIP_RECTANGLE,v3_current,MICROCHIP,MICROCHIP_RECTANGLE,current v3 MICROCHIP_RECTANGLE,4,static,1.5,500,zero_cross,any,any,329.6256830600202,19350.0,11,6,476.3636363636364,500
v3|OXYGEN_SHAKE|OXYGEN_SHAKE_MINT,v3_current,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,current v3 OXYGEN_SHAKE_MINT,2,static,3.0,500,fixed,any,any,442.06984309591326,0.0,0,0,0.0,0
v3|OXYGEN_SHAKE|OXYGEN_SHAKE_MINT,v3_current,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,current v3 OXYGEN_SHAKE_MINT,3,static,3.0,500,fixed,any,any,442.06984309591326,0.0,0,0,0.0,0
v3|OXYGEN_SHAKE|OXYGEN_SHAKE_MINT,v3_current,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,current v3 OXYGEN_SHAKE_MINT,4,static,3.0,500,fixed,any,any,442.06984309591326,0.0,0,0,0.0,0
v3|PANEL|PANEL_2X2,v3_current,PANEL,PANEL_2X2,current v3 PANEL_2X2,2,static,2.5,100,fixed,any,any,369.54249653714464,0.0,0,0,0.0,0
v3|PANEL|PANEL_2X2,v3_current,PANEL,PANEL_2X2,current v3 PANEL_2X2,3,static,2.5,100,fixed,any,any,369.54249653714464,3930.0,11,9,100.0,100
v3|PANEL|PANEL_2X2,v3_current,PANEL,PANEL_2X2,current v3 PANEL_2X2,4,static,2.5,100,fixed,any,any,369.54249653714464,0.0,0,0,0.0,0
v3|PEBBLES|PEBBLES_S,v3_current,PEBBLES,PEBBLES_S,current v3 PEBBLES_S,2,static,1.5,200,fixed,any,any,2.798296213303394,-3060.0,43,21,197.62790697674419,200
v3|PEBBLES|PEBBLES_S,v3_current,PEBBLES,PEBBLES_S,current v3 PEBBLES_S,3,static,1.5,200,fixed,any,any,2.798296213303394,26810.0,44,30,196.22727272727272,200
v3|PEBBLES|PEBBLES_S,v3_current,PEBBLES,PEBBLES_S,current v3 PEBBLES_S,4,static,1.5,200,fixed,any,any,2.798296213303394,9710.0,43,23,200.0,200
v3|ROBOT|ROBOT_IRONING,v3_current,ROBOT,ROBOT_IRONING,current v3 ROBOT_IRONING,2,static,2.5,500,fixed,any,any,369.0771501834655,3040.0,1,1,500.0,500
v3|ROBOT|ROBOT_IRONING,v3_current,ROBOT,ROBOT_IRONING,current v3 ROBOT_IRONING,3,static,2.5,500,fixed,any,any,369.0771501834655,0.0,0,0,0.0,0
v3|ROBOT|ROBOT_IRONING,v3_current,ROBOT,ROBOT_IRONING,current v3 ROBOT_IRONING,4,static,2.5,500,fixed,any,any,369.0771501834655,0.0,0,0,0.0,0
v3|SLEEP_POD|SLEEP_POD_POLYESTER,v3_current,SLEEP_POD,SLEEP_POD_POLYESTER,current v3 SLEEP_POD_POLYESTER,2,static,1.5,500,zero_cross,any,any,327.3066485115772,7360.0,6,5,463.6666666666667,500
v3|SLEEP_POD|SLEEP_POD_POLYESTER,v3_current,SLEEP_POD,SLEEP_POD_POLYESTER,current v3 SLEEP_POD_POLYESTER,3,static,1.5,500,zero_cross,any,any,327.3066485115772,2150.0,7,4,500.0,500
v3|SLEEP_POD|SLEEP_POD_POLYESTER,v3_current,SLEEP_POD,SLEEP_POD_POLYESTER,current v3 SLEEP_POD_POLYESTER,4,static,1.5,500,zero_cross,any,any,327.3066485115772,7700.0,5,4,389.0,500
v3|SNACKPACK|SNACKPACK_STRAWBERRY,v3_current,SNACKPACK,SNACKPACK_STRAWBERRY,current v3 SNACKPACK_STRAWBERRY,2,static,2.0,500,zero_cross,any,any,163.08409144921757,950.0,5,3,500.0,500
v3|SNACKPACK|SNACKPACK_STRAWBERRY,v3_current,SNACKPACK,SNACKPACK_STRAWBERRY,current v3 SNACKPACK_STRAWBERRY,3,static,2.0,500,zero_cross,any,any,163.08409144921757,930.0,3,2,500.0,500
v3|SNACKPACK|SNACKPACK_STRAWBERRY,v3_current,SNACKPACK,SNACKPACK_STRAWBERRY,current v3 SNACKPACK_STRAWBERRY,4,static,2.0,500,zero_cross,any,any,163.08409144921757,1940.0,1,1,500.0,500
v3|TRANSLATOR|TRANSLATOR_VOID_BLUE,v3_current,TRANSLATOR,TRANSLATOR_VOID_BLUE,current v3 TRANSLATOR_VOID_BLUE,2,static,2.5,500,fixed,any,any,329.1562069293615,5340.0,1,1,500.0,500
v3|TRANSLATOR|TRANSLATOR_VOID_BLUE,v3_current,TRANSLATOR,TRANSLATOR_VOID_BLUE,current v3 TRANSLATOR_VOID_BLUE,3,static,2.5,500,fixed,any,any,329.1562069293615,6960.0,2,2,500.0,500
v3|TRANSLATOR|TRANSLATOR_VOID_BLUE,v3_current,TRANSLATOR,TRANSLATOR_VOID_BLUE,current v3 TRANSLATOR_VOID_BLUE,4,static,2.5,500,fixed,any,any,329.1562069293615,5680.0,1,1,500.0,500
v3|UV_VISOR|UV_VISOR_MAGENTA,v3_current,UV_VISOR,UV_VISOR_MAGENTA,current v3 UV_VISOR_MAGENTA,2,static,1.5,500,fixed,any,any,264.0833293041973,3610.0,7,4,438.14285714285717,500
v3|UV_VISOR|UV_VISOR_MAGENTA,v3_current,UV_VISOR,UV_VISOR_MAGENTA,current v3 UV_VISOR_MAGENTA,3,static,1.5,500,fixed,any,any,264.0833293041973,-1920.0,3,1,500.0,500
v3|UV_VISOR|UV_VISOR_MAGENTA,v3_current,UV_VISOR,UV_VISOR_MAGENTA,current v3 UV_VISOR_MAGENTA,4,static,1.5,500,fixed,any,any,264.0833293041973,7010.0,10,8,500.0,500
