candidate_id,lens,group,target,label,center_mode,threshold,horizon,exit_rule,slope_mode,vol_mode,days,total_pnl,min_day_pnl,max_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold,max_hold
v3|MICROCHIP|MICROCHIP_RECTANGLE,v3_current,MICROCHIP,MICROCHIP_RECTANGLE,current v3 MICROCHIP_RECTANGLE,static,1.5,500,zero_cross,any,any,3,39440.0,3950.0,19350.0,3,25,0.64,1577.6,427.72,500
v3|PEBBLES|PEBBLES_S,v3_current,PEBBLES,PEBBLES_S,current v3 PEBBLES_S,static,1.5,200,fixed,any,any,3,33460.0,-3060.0,26810.0,2,130,0.5692307692307692,257.38461538461536,197.93846153846152,200
v3|TRANSLATOR|TRANSLATOR_VOID_BLUE,v3_current,TRANSLATOR,TRANSLATOR_VOID_BLUE,current v3 TRANSLATOR_VOID_BLUE,static,2.5,500,fixed,any,any,3,17980.0,5340.0,6960.0,3,4,1.0,4495.0,500.0,500
v3|SLEEP_POD|SLEEP_POD_POLYESTER,v3_current,SLEEP_POD,SLEEP_POD_POLYESTER,current v3 SLEEP_POD_POLYESTER,static,1.5,500,zero_cross,any,any,3,17210.0,2150.0,7700.0,3,18,0.7222222222222222,956.1111111111111,457.05555555555554,500
v3|GALAXY_SOUNDS|GALAXY_SOUNDS_SOLAR_FLAMES,v3_current,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,current v3 GALAXY_SOUNDS_SOLAR_FLAMES,static,2.0,500,fixed,any,any,3,9130.0,0.0,4640.0,2,4,0.5,2282.5,400.0,500
v3|UV_VISOR|UV_VISOR_MAGENTA,v3_current,UV_VISOR,UV_VISOR_MAGENTA,current v3 UV_VISOR_MAGENTA,static,1.5,500,fixed,any,any,3,8700.0,-1920.0,7010.0,2,20,0.65,435.0,478.35,500
v3|PANEL|PANEL_2X2,v3_current,PANEL,PANEL_2X2,current v3 PANEL_2X2,static,2.5,100,fixed,any,any,3,3930.0,0.0,3930.0,1,11,0.8181818181818182,357.27272727272725,84.61538461538461,100
v3|SNACKPACK|SNACKPACK_STRAWBERRY,v3_current,SNACKPACK,SNACKPACK_STRAWBERRY,current v3 SNACKPACK_STRAWBERRY,static,2.0,500,zero_cross,any,any,3,3820.0,930.0,1940.0,3,9,0.6666666666666666,424.44444444444446,500.0,500
v3|ROBOT|ROBOT_IRONING,v3_current,ROBOT,ROBOT_IRONING,current v3 ROBOT_IRONING,static,2.5,500,fixed,any,any,3,3040.0,0.0,3040.0,1,1,1.0,3040.0,166.66666666666666,500
v3|OXYGEN_SHAKE|OXYGEN_SHAKE_MINT,v3_current,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,current v3 OXYGEN_SHAKE_MINT,static,3.0,500,fixed,any,any,3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
