group,quote_mode,horizon,products,quote_ticks,trade_fill_count,trade_fill_rate,mean_edge_if_filled,mean_cross_liq_edge_if_filled,ev_per_quote,positive_product_sides
SNACKPACK,best_touch,20,5,299400,46524,0.15539078156312627,-11.53574353097713,-19.93712127230177,-1.803622244488978,0
SNACKPACK,one_tick_inside,20,5,299400,48725,0.16274215096860387,-11.785516193462088,-20.18724044668291,-1.9273547094188377,0
SNACKPACK,wall_mid,20,5,299400,63960,0.21362725450901804,-14.46460359347088,-22.869361729557475,-3.0888360053440214,0
SNACKPACK,book_mid,20,5,299400,63969,0.2136573146292585,-14.478424334654388,-22.882761123564606,-3.092438209752839,0
SNACKPACK,residual_fair,20,5,299400,63205,0.21110554442217772,-15.750428346957639,-24.154818576029175,-3.3393236472945893,0
OXYGEN_SHAKE,best_touch,20,5,299400,53989,0.1803239812959252,-20.48854407013046,-26.94016654741647,-3.6875233800935208,0
UV_VISOR,best_touch,20,5,299400,53163,0.17756513026052104,-21.131893555285618,-27.703022781010645,-3.7581295925183698,0
OXYGEN_SHAKE,one_tick_inside,20,5,299400,55160,0.18423513694054777,-20.931630746318408,-27.38361829440414,-3.8537942551770206,0
PANEL,best_touch,20,5,299400,55438,0.18516366065464263,-21.11556979964047,-25.819430422034706,-3.915096860387442,0
TRANSLATOR,best_touch,20,5,299400,56246,0.1878623914495658,-20.839952981635182,-25.235690410742656,-3.9155527722110888,0
ROBOT,best_touch,20,5,299400,58793,0.1963694054776219,-20.055620741763462,-23.621321220251406,-3.9196843687374754,0
UV_VISOR,one_tick_inside,20,5,299400,54829,0.18312959251837008,-21.433254877716216,-28.003945808849426,-3.9291416165664663,0
GALAXY_SOUNDS,best_touch,20,5,299400,53111,0.17739144956579828,-22.43015473936638,-29.309756564800107,-3.982373079492318,0
PANEL,one_tick_inside,20,5,299400,57260,0.19124916499665998,-21.30916072801985,-26.01235140686695,-4.080187040748163,0
TRANSLATOR,one_tick_inside,20,5,299400,58008,0.19374749498997995,-21.091995284408355,-25.48774538867542,-4.086628256513026,0
ROBOT,one_tick_inside,20,5,299400,60066,0.20062124248496996,-20.552348107266518,-24.117864740985716,-4.110881763527054,0
GALAXY_SOUNDS,one_tick_inside,20,5,299400,54606,0.18238476953907817,-22.67379388828549,-29.552282003778664,-4.1387959251837,0
SLEEP_POD,best_touch,20,5,299400,56377,0.1882999331997328,-23.127060159682614,-27.967254933032955,-4.356359385437542,0
ROBOT,residual_fair,20,5,299400,62970,0.2103206412825651,-21.40611500475641,-24.971918197511705,-4.5032214428857715,0
SLEEP_POD,one_tick_inside,20,5,299400,57989,0.19368403473613896,-23.393181197977164,-28.23339267403273,-4.53183867735471,0
ROBOT,book_mid,20,5,299400,63371,0.2116599866399466,-21.52355218136307,-25.089470833316675,-4.555460921843688,0
ROBOT,wall_mid,20,5,299400,63378,0.21168336673346694,-21.535219939936532,-25.100807890436165,-4.557663660654642,0
TRANSLATOR,residual_fair,20,5,299400,63131,0.21085838343353372,-22.03110261169771,-26.42663058645756,-4.646653306613226,0
TRANSLATOR,wall_mid,20,5,299400,63493,0.21206746826987305,-21.94239046768236,-26.337626570907183,-4.653381763527054,0
TRANSLATOR,book_mid,20,5,299400,63498,0.21208416833667335,-21.94891406096739,-26.344177715896695,-4.655146960587842,0
