group,product,quote_mode,side,horizon,days,quote_ticks,trade_fill_count,book_or_trade_fill_count,trade_fill_rate,book_or_trade_fill_rate,mean_edge_if_filled,mean_cross_liq_edge_if_filled,mean_spread_capture_if_filled,mean_adverse_selection_if_filled,ev_per_quote,cross_liq_ev_per_quote,positive_edge_days,positive_cross_liq_days,min_day_edge_if_filled,min_day_cross_liq_edge_if_filled,min_day_ev_per_quote,cap10_edge_per_full_inventory,cap10_cross_liq_edge_per_full_inventory
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,buy,1,3,29997,246,3428,0.008200820082008202,0.11427809447611428,-3.5589430894308944,-10.825203252032521,7.296747967479675,-10.855691056910569,-0.029186251958529186,-0.08877554422108877,0,0,-4.131578947368421,-11.936170212765957,-0.038303830383038306,-35.58943089430895,-108.25203252032522
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,buy,5,3,29985,1276,13033,0.04255461063865266,0.43465065866266467,-10.165360501567399,-17.419278996865202,7.232758620689655,-17.398119122257054,-0.43258295814573955,-0.7412706353176588,0,0,-10.326530612244898,-18.14190687361419,-0.4636818409204602,-101.65360501567399,-174.19278996865202
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,buy,20,3,29940,5022,20376,0.16773547094188376,0.680561122244489,-23.781461569095978,-31.042612504978095,7.251692552767822,-31.0331541218638,-3.988994655978624,-5.206947227788911,0,0,-26.41168091168091,-34.29059829059829,-4.6445390781563125,-237.81461569095978,-310.4261250497809
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,buy,100,3,29700,15525,24987,0.5227272727272727,0.8413131313131313,-33.9538808373591,-41.205475040257646,7.27561996779388,-41.22950080515298,-17.74861952861953,-21.539225589225587,0,0,-42.79563643292683,-49.81516768292683,-22.6860101010101,-339.538808373591,-412.0547504025765
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,buy,500,3,28500,22201,26142,0.7789824561403509,0.9172631578947369,15.263434079545966,8.006080807170848,7.25624971848115,8.007184361064818,11.889947368421053,6.23659649122807,2,2,-32.12876427829699,-39.13655244029076,-26.054736842105264,152.63434079545965,80.06080807170848
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,sell,1,3,29997,233,3561,0.0077674434110077675,0.1187118711871187,-3.0987124463519313,-10.369098712446352,7.223175965665236,-10.321888412017167,-0.024069073574024068,-0.08054138747208055,0,0,-5.092592592592593,-13.074074074074074,-0.041254125412541254,-30.987124463519315,-103.69098712446352
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,sell,5,3,29985,1333,13227,0.04445556111389028,0.4411205602801401,-10.522130532633158,-17.804201050262566,7.2299324831207805,-17.75206301575394,-0.46776721694180423,-0.791495747873937,0,0,-13.033842794759826,-20.978165938864628,-0.5972486243121561,-105.22130532633157,-178.04201050262566
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,sell,20,3,29940,5689,21163,0.19001336005344022,0.7068470273881096,-24.649323255405168,-31.943751098611354,7.2515380558973455,-31.900861311302513,-4.683700734802939,-6.069739478957916,0,0,-27.843523316062175,-35.81295336787565,-5.384569138276553,-246.49323255405167,-319.4375109861135
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,sell,100,3,29700,17933,26142,0.6038047138047138,0.8802020202020202,-51.952908046617964,-59.23905648803881,7.245357720403725,-59.198265767021695,-31.369410774410774,-35.76882154882155,0,0,-58.868461803165864,-65.7095664143152,-34.55994949494949,-519.5290804661796,-592.3905648803882
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,best_touch,sell,500,3,28500,24443,27279,0.8576491228070175,0.9571578947368421,-116.64887697909423,-123.9558155709201,7.232029619932087,-123.8809065990263,-100.04380701754386,-106.31059649122807,0,0,-154.3096558678936,-161.17257027606203,-128.8566842105263,-1166.4887697909423,-1239.558155709201
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,buy,1,3,29997,264,3953,0.0088008800880088,0.13177984465113177,-3.971590909090909,-11.238636363636363,6.28219696969697,-10.253787878787879,-0.03495349534953495,-0.09890989098909891,0,0,-4.58080808080808,-12.444444444444445,-0.045354535453545355,-39.71590909090909,-112.38636363636363
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,buy,5,3,29985,1351,13729,0.04505586126396532,0.4578622644655661,-10.40118430792006,-17.64840858623242,6.2398223538119915,-16.64100666173205,-0.4686343171585793,-0.7951642487910622,0,0,-10.56195652173913,-18.325678496868477,-0.5007503751875938,-104.0118430792006,-176.4840858623242
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,buy,20,3,29940,5156,20816,0.17221108884435538,0.6952571810287241,-23.973525989138867,-31.232932505818464,6.252618308766485,-30.226144297905353,-4.128507014028056,-5.378657314629258,0,0,-26.722469410456064,-34.59899888765295,-4.814328657314629,-239.73525989138867,-312.3293250581846
