group,offset,trades,qty,offset_type
GALAXY_SOUNDS,0.0,1790,4400,ask_minus_price
GALAXY_SOUNDS,14.0,745,1861,ask_minus_price
GALAXY_SOUNDS,13.0,494,1207,ask_minus_price
GALAXY_SOUNDS,15.0,347,874,ask_minus_price
GALAXY_SOUNDS,16.0,99,247,ask_minus_price
GALAXY_SOUNDS,12.0,88,207,ask_minus_price
GALAXY_SOUNDS,7.0,39,83,ask_minus_price
GALAXY_SOUNDS,17.0,20,49,ask_minus_price
GALAXY_SOUNDS,6.0,17,42,ask_minus_price
GALAXY_SOUNDS,8.0,16,31,ask_minus_price
GALAXY_SOUNDS,18.0,7,15,ask_minus_price
GALAXY_SOUNDS,9.0,2,5,ask_minus_price
GALAXY_SOUNDS,5.0,1,4,ask_minus_price
MICROCHIP,0.0,1500,3000,ask_minus_price
MICROCHIP,8.0,430,838,ask_minus_price
MICROCHIP,9.0,380,736,ask_minus_price
MICROCHIP,7.0,134,253,ask_minus_price
MICROCHIP,13.0,103,206,ask_minus_price
MICROCHIP,10.0,99,182,ask_minus_price
MICROCHIP,6.0,68,132,ask_minus_price
MICROCHIP,14.0,38,67,ask_minus_price
MICROCHIP,12.0,37,65,ask_minus_price
MICROCHIP,11.0,25,53,ask_minus_price
MICROCHIP,5.0,22,44,ask_minus_price
MICROCHIP,3.0,5,11,ask_minus_price
MICROCHIP,4.0,4,8,ask_minus_price
OXYGEN_SHAKE,0.0,1790,4400,ask_minus_price
OXYGEN_SHAKE,12.0,802,1982,ask_minus_price
OXYGEN_SHAKE,13.0,403,990,ask_minus_price
OXYGEN_SHAKE,14.0,243,604,ask_minus_price
OXYGEN_SHAKE,15.0,185,468,ask_minus_price
OXYGEN_SHAKE,16.0,69,174,ask_minus_price
OXYGEN_SHAKE,17.0,41,89,ask_minus_price
OXYGEN_SHAKE,11.0,39,104,ask_minus_price
OXYGEN_SHAKE,6.0,38,93,ask_minus_price
OXYGEN_SHAKE,7.0,26,51,ask_minus_price
OXYGEN_SHAKE,18.0,16,42,ask_minus_price
OXYGEN_SHAKE,8.0,5,9,ask_minus_price
OXYGEN_SHAKE,9.0,4,8,ask_minus_price
OXYGEN_SHAKE,5.0,2,4,ask_minus_price
OXYGEN_SHAKE,10.0,2,7,ask_minus_price
PANEL,0.0,1790,4400,ask_minus_price
PANEL,9.0,636,1594,ask_minus_price
PANEL,8.0,375,906,ask_minus_price
PANEL,10.0,346,868,ask_minus_price
PANEL,11.0,206,516,ask_minus_price
PANEL,12.0,142,345,ask_minus_price
PANEL,13.0,62,144,ask_minus_price
PANEL,7.0,36,94,ask_minus_price
PANEL,5.0,34,71,ask_minus_price
PANEL,4.0,21,53,ask_minus_price
PANEL,6.0,13,25,ask_minus_price
PANEL,3.0,4,9,ask_minus_price
PEBBLES,0.0,1605,5665,ask_minus_price
PEBBLES,13.0,374,1333,ask_minus_price
PEBBLES,12.0,300,1084,ask_minus_price
PEBBLES,14.0,240,877,ask_minus_price
PEBBLES,11.0,113,400,ask_minus_price
PEBBLES,17.0,82,306,ask_minus_price
PEBBLES,10.0,81,280,ask_minus_price
PEBBLES,8.0,77,270,ask_minus_price
PEBBLES,9.0,72,259,ask_minus_price
PEBBLES,15.0,66,220,ask_minus_price
PEBBLES,18.0,58,195,ask_minus_price
PEBBLES,16.0,53,178,ask_minus_price
PEBBLES,7.0,32,108,ask_minus_price
PEBBLES,20.0,22,72,ask_minus_price
PEBBLES,19.0,17,68,ask_minus_price
PEBBLES,21.0,17,60,ask_minus_price
PEBBLES,6.0,5,18,ask_minus_price
PEBBLES,5.0,3,11,ask_minus_price
PEBBLES,4.0,2,8,ask_minus_price
PEBBLES,3.0,1,3,ask_minus_price
ROBOT,0.0,1790,4400,ask_minus_price
ROBOT,7.0,684,1721,ask_minus_price
ROBOT,8.0,609,1480,ask_minus_price
ROBOT,6.0,405,994,ask_minus_price
ROBOT,9.0,102,265,ask_minus_price
ROBOT,4.0,37,74,ask_minus_price
ROBOT,3.0,32,79,ask_minus_price
ROBOT,5.0,6,12,ask_minus_price
SLEEP_POD,0.0,1790,4400,ask_minus_price
SLEEP_POD,10.0,620,1551,ask_minus_price
SLEEP_POD,9.0,565,1368,ask_minus_price
SLEEP_POD,11.0,407,1015,ask_minus_price
SLEEP_POD,8.0,142,372,ask_minus_price
SLEEP_POD,12.0,64,150,ask_minus_price
SLEEP_POD,5.0,35,70,ask_minus_price
SLEEP_POD,4.0,19,50,ask_minus_price
SLEEP_POD,6.0,18,37,ask_minus_price
SLEEP_POD,3.0,3,8,ask_minus_price
SLEEP_POD,7.0,2,4,ask_minus_price
SNACKPACK,0.0,1790,4400,ask_minus_price
SNACKPACK,17.0,890,2244,ask_minus_price
SNACKPACK,16.0,430,1042,ask_minus_price
SNACKPACK,18.0,355,858,ask_minus_price
SNACKPACK,19.0,109,280,ask_minus_price
SNACKPACK,9.0,37,76,ask_minus_price
SNACKPACK,8.0,24,64,ask_minus_price
SNACKPACK,15.0,16,36,ask_minus_price
SNACKPACK,10.0,10,16,ask_minus_price
SNACKPACK,7.0,4,9,ask_minus_price
TRANSLATOR,0.0,1790,4400,ask_minus_price
TRANSLATOR,9.0,999,2478,ask_minus_price
TRANSLATOR,8.0,455,1124,ask_minus_price
TRANSLATOR,10.0,310,775,ask_minus_price
TRANSLATOR,5.0,35,66,ask_minus_price
TRANSLATOR,4.0,30,74,ask_minus_price
TRANSLATOR,11.0,22,52,ask_minus_price
TRANSLATOR,7.0,14,31,ask_minus_price
TRANSLATOR,6.0,6,12,ask_minus_price
TRANSLATOR,3.0,4,13,ask_minus_price
UV_VISOR,0.0,1790,4400,ask_minus_price
UV_VISOR,14.0,533,1355,ask_minus_price
UV_VISOR,15.0,441,1116,ask_minus_price
UV_VISOR,13.0,369,885,ask_minus_price
UV_VISOR,12.0,122,292,ask_minus_price
UV_VISOR,10.0,116,305,ask_minus_price
UV_VISOR,9.0,99,230,ask_minus_price
UV_VISOR,16.0,70,150,ask_minus_price
UV_VISOR,11.0,49,123,ask_minus_price
UV_VISOR,7.0,30,66,ask_minus_price
UV_VISOR,8.0,21,43,ask_minus_price
UV_VISOR,6.0,16,39,ask_minus_price
UV_VISOR,5.0,7,16,ask_minus_price
UV_VISOR,4.0,2,5,ask_minus_price
GALAXY_SOUNDS,0.0,1875,4625,price_minus_bid
GALAXY_SOUNDS,14.0,698,1657,price_minus_bid
GALAXY_SOUNDS,13.0,520,1326,price_minus_bid
GALAXY_SOUNDS,15.0,318,803,price_minus_bid
GALAXY_SOUNDS,16.0,97,227,price_minus_bid
GALAXY_SOUNDS,12.0,74,181,price_minus_bid
GALAXY_SOUNDS,7.0,27,61,price_minus_bid
GALAXY_SOUNDS,17.0,24,61,price_minus_bid
GALAXY_SOUNDS,6.0,11,26,price_minus_bid
GALAXY_SOUNDS,8.0,10,28,price_minus_bid
GALAXY_SOUNDS,18.0,9,25,price_minus_bid
GALAXY_SOUNDS,5.0,1,3,price_minus_bid
GALAXY_SOUNDS,9.0,1,2,price_minus_bid
MICROCHIP,0.0,1345,2595,price_minus_bid
MICROCHIP,8.0,463,930,price_minus_bid
MICROCHIP,9.0,394,798,price_minus_bid
MICROCHIP,7.0,170,346,price_minus_bid
MICROCHIP,10.0,135,256,price_minus_bid
MICROCHIP,13.0,116,235,price_minus_bid
MICROCHIP,6.0,68,134,price_minus_bid
MICROCHIP,5.0,39,71,price_minus_bid
MICROCHIP,12.0,37,68,price_minus_bid
MICROCHIP,14.0,34,70,price_minus_bid
MICROCHIP,11.0,27,58,price_minus_bid
MICROCHIP,4.0,12,25,price_minus_bid
MICROCHIP,3.0,4,7,price_minus_bid
MICROCHIP,2.0,1,2,price_minus_bid
OXYGEN_SHAKE,0.0,1875,4625,price_minus_bid
OXYGEN_SHAKE,12.0,735,1789,price_minus_bid
OXYGEN_SHAKE,13.0,406,1003,price_minus_bid
OXYGEN_SHAKE,14.0,264,666,price_minus_bid
OXYGEN_SHAKE,15.0,167,403,price_minus_bid
OXYGEN_SHAKE,16.0,53,130,price_minus_bid
OXYGEN_SHAKE,11.0,49,121,price_minus_bid
OXYGEN_SHAKE,17.0,48,124,price_minus_bid
OXYGEN_SHAKE,6.0,23,54,price_minus_bid
OXYGEN_SHAKE,18.0,17,40,price_minus_bid
OXYGEN_SHAKE,7.0,16,42,price_minus_bid
OXYGEN_SHAKE,5.0,6,13,price_minus_bid
OXYGEN_SHAKE,8.0,4,10,price_minus_bid
OXYGEN_SHAKE,9.0,1,1,price_minus_bid
OXYGEN_SHAKE,10.0,1,4,price_minus_bid
PANEL,0.0,1875,4625,price_minus_bid
PANEL,9.0,623,1571,price_minus_bid
PANEL,8.0,359,864,price_minus_bid
PANEL,10.0,315,771,price_minus_bid
PANEL,11.0,217,522,price_minus_bid
PANEL,12.0,132,313,price_minus_bid
PANEL,13.0,58,157,price_minus_bid
PANEL,7.0,40,93,price_minus_bid
PANEL,5.0,21,53,price_minus_bid
PANEL,4.0,18,40,price_minus_bid
PANEL,3.0,4,7,price_minus_bid
PANEL,6.0,3,9,price_minus_bid
PEBBLES,0.0,1615,5750,price_minus_bid
PEBBLES,13.0,346,1236,price_minus_bid
PEBBLES,12.0,291,1018,price_minus_bid
PEBBLES,14.0,273,947,price_minus_bid
PEBBLES,11.0,117,431,price_minus_bid
PEBBLES,17.0,92,334,price_minus_bid
PEBBLES,10.0,81,281,price_minus_bid
PEBBLES,9.0,78,284,price_minus_bid
PEBBLES,8.0,75,248,price_minus_bid
PEBBLES,18.0,61,218,price_minus_bid
PEBBLES,15.0,56,198,price_minus_bid
PEBBLES,16.0,44,151,price_minus_bid
PEBBLES,7.0,25,87,price_minus_bid
PEBBLES,20.0,19,70,price_minus_bid
PEBBLES,21.0,17,53,price_minus_bid
PEBBLES,6.0,11,47,price_minus_bid
PEBBLES,19.0,9,29,price_minus_bid
PEBBLES,22.0,5,17,price_minus_bid
PEBBLES,4.0,3,11,price_minus_bid
PEBBLES,5.0,2,5,price_minus_bid
ROBOT,0.0,1875,4625,price_minus_bid
ROBOT,7.0,665,1641,price_minus_bid
ROBOT,8.0,601,1483,price_minus_bid
ROBOT,6.0,365,895,price_minus_bid
ROBOT,9.0,109,261,price_minus_bid
ROBOT,3.0,27,58,price_minus_bid
ROBOT,4.0,20,56,price_minus_bid
ROBOT,5.0,2,5,price_minus_bid
ROBOT,2.0,1,1,price_minus_bid
SLEEP_POD,0.0,1875,4625,price_minus_bid
SLEEP_POD,10.0,621,1531,price_minus_bid
SLEEP_POD,9.0,579,1444,price_minus_bid
SLEEP_POD,11.0,376,898,price_minus_bid
SLEEP_POD,8.0,109,270,price_minus_bid
SLEEP_POD,12.0,54,133,price_minus_bid
SLEEP_POD,5.0,23,59,price_minus_bid
SLEEP_POD,4.0,13,27,price_minus_bid
SLEEP_POD,6.0,12,32,price_minus_bid
SLEEP_POD,7.0,2,5,price_minus_bid
SLEEP_POD,3.0,1,1,price_minus_bid
SNACKPACK,0.0,1875,4625,price_minus_bid
SNACKPACK,17.0,871,2147,price_minus_bid
SNACKPACK,16.0,396,967,price_minus_bid
SNACKPACK,18.0,362,889,price_minus_bid
SNACKPACK,19.0,95,229,price_minus_bid
SNACKPACK,8.0,21,48,price_minus_bid
SNACKPACK,9.0,20,53,price_minus_bid
SNACKPACK,15.0,15,47,price_minus_bid
SNACKPACK,7.0,6,12,price_minus_bid
SNACKPACK,10.0,3,7,price_minus_bid
SNACKPACK,20.0,1,1,price_minus_bid
TRANSLATOR,0.0,1875,4625,price_minus_bid
TRANSLATOR,9.0,983,2417,price_minus_bid
TRANSLATOR,8.0,423,1057,price_minus_bid
