event_type,product,group,feature,direction,threshold,quantile,side,horizon,count_total,count_min_day,mean_all,median_all,win_all,mean_day2,mean_day3,mean_day4,win_day2,win_day3,win_day4,worst_day_mean,rank_score
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_84_width_100,84.0,,short,1000,300,100,943.6966666666667,905.0,1.0,1339.47,682.22,809.4,1.0,1.0,1.0,682.22,3893.504764816978
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_16_width_500,16.0,,short,1000,1500,500,593.768,620.5,0.932,534.698,701.112,545.494,0.808,1.0,0.988,534.698,3644.791656145898
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_42_width_200,42.0,,short,1000,600,200,842.7316666666667,788.5,1.0,1189.585,551.01,787.6,1.0,1.0,1.0,551.01,3525.689794878245
product_time_bucket,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,tick_index,bucket_2_width_500,2.0,,long,1000,1500,500,472.87266666666665,483.5,1.0,469.222,442.622,506.774,1.0,1.0,1.0,442.622,3237.2872171912663
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_8_width_1000,8.0,,short,1000,3000,1000,544.159,565.0,0.932,415.068,583.614,633.795,0.804,1.0,0.992,415.068,3097.339185672206
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_4_width_2000,4.0,,short,1000,3000,1000,544.159,565.0,0.932,415.068,583.614,633.795,0.804,1.0,0.992,415.068,3097.339185672206
product_time_bucket,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,tick_index,bucket_6_width_200,6.0,,long,1000,600,200,517.26,519.5,1.0,475.105,576.335,500.34,1.0,1.0,1.0,475.105,3040.00444637235
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_47_width_100,47.0,,long,1000,300,100,809.52,889.5,0.9866666666666667,893.58,1003.37,531.61,1.0,1.0,0.96,531.61,2993.5041293385743
product_time_bucket,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,tick_index,bucket_12_width_100,12.0,,long,1000,300,100,552.35,542.0,1.0,518.15,591.69,547.21,1.0,1.0,1.0,518.15,2957.1391836796297
product_time_bucket,MICROCHIP_SQUARE,MICROCHIP,tick_index,bucket_13_width_100,13.0,,long,1000,300,100,764.3566666666667,786.0,1.0,1026.82,781.16,485.09,1.0,1.0,1.0,485.09,2768.462118327032
product_time_bucket,MICROCHIP_SQUARE,MICROCHIP,tick_index,bucket_82_width_100,82.0,,short,1000,300,100,570.5133333333333,550.5,1.0,469.25,711.97,530.32,1.0,1.0,1.0,469.25,2678.0614917334096
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_39_width_100,39.0,,short,200,300,100,557.11,549.0,1.0,702.01,515.13,454.19,1.0,1.0,1.0,454.19,2592.112411146292
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_83_width_100,83.0,,short,1000,300,100,815.93,787.5,1.0,1090.37,906.68,450.74,1.0,1.0,1.0,450.74,2572.422880732908
product_time_bucket,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,tick_index,bucket_86_width_100,86.0,,long,1000,300,100,645.4733333333334,679.5,1.0,442.77,715.88,777.77,1.0,1.0,1.0,442.77,2526.9372119228597
product_time_bucket,SLEEP_POD_POLYESTER,SLEEP,tick_index,bucket_4_width_200,4.0,,long,1000,600,200,500.8883333333333,473.5,1.0,644.58,470.46,387.625,1.0,1.0,1.0,387.625,2480.25536149921
product_time_bucket,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,tick_index,bucket_13_width_100,13.0,,long,1000,300,100,482.17,477.0,1.0,432.06,560.98,453.47,1.0,1.0,1.0,432.06,2465.814060987399
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_29_width_100,29.0,,long,1000,300,100,679.5633333333334,635.0,1.0,430.77,615.58,992.34,1.0,1.0,1.0,430.77,2458.451888745873
numeric_regime,UV_VISOR_YELLOW,UV,group_residual,high,1863.38125,0.95,short,1000,1325,138,599.2966037735849,645.0,0.9803773584905661,348.0217391304348,629.5675675675676,628.314371257485,1.0,0.8648648648648649,0.999001996007984,348.0217391304348,2453.1484787018717
product_time_bucket,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,tick_index,bucket_43_width_200,43.0,,long,1000,600,200,581.3283333333334,605.0,1.0,381.135,672.54,690.31,1.0,1.0,1.0,381.135,2438.7284803740763
product_time_bucket,MICROCHIP_SQUARE,MICROCHIP,tick_index,bucket_7_width_500,7.0,,long,1000,1500,500,471.94,436.0,0.8793333333333333,377.168,381.936,656.716,1.0,0.75,0.888,377.168,2425.6973375795633
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_9_width_500,9.0,,long,1000,1500,500,583.1993333333334,745.5,0.8126666666666666,922.43,420.282,406.886,1.0,0.742,0.696,406.886,2418.429489227573
product_time_bucket,MICROCHIP_SQUARE,MICROCHIP,tick_index,bucket_1_width_1000,1.0,,long,1000,3000,1000,666.833,614.0,0.95,1163.898,518.782,317.819,1.0,0.987,0.863,317.819,2417.4475731971615
product_time_bucket,MICROCHIP_SQUARE,MICROCHIP,tick_index,bucket_81_width_100,81.0,,short,1000,300,100,677.3066666666666,552.0,1.0,420.9,1078.88,532.14,1.0,1.0,1.0,420.9,2402.1227104328013
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_85_width_100,85.0,,short,1000,300,100,741.7666666666667,715.5,1.0,1039.7,419.8,765.8,1.0,1.0,1.0,419.8,2395.844889141578
product_time_bucket,MICROCHIP_SQUARE,MICROCHIP,tick_index,bucket_41_width_200,41.0,,short,1000,600,200,539.975,492.5,0.9916666666666667,375.915,485.385,758.625,1.0,0.975,1.0,375.915,2385.2834163590046
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_52_width_100,52.0,,long,500,300,100,469.69,434.5,1.0,476.54,412.42,520.11,1.0,1.0,1.0,412.42,2353.7264153877313
product_time_bucket,MICROCHIP_SQUARE,MICROCHIP,tick_index,bucket_18_width_200,18.0,,long,1000,600,200,441.86833333333334,458.0,0.9633333333333334,426.635,517.93,381.04,1.0,1.0,0.89,381.04,2348.722858013935
product_time_bucket,OXYGEN_SHAKE_GARLIC,OXYGEN,tick_index,bucket_6_width_100,6.0,,long,1000,300,100,442.80333333333334,452.0,1.0,473.56,411.03,443.82,1.0,1.0,1.0,411.03,2345.79353211973
product_time_bucket,PANEL_1X2,PANEL,tick_index,bucket_0_width_200,0.0,,short,1000,600,200,414.285,432.0,1.0,365.835,488.665,388.355,1.0,1.0,1.0,365.835,2340.8299778756877
product_time_bucket,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,tick_index,bucket_85_width_100,85.0,,long,1000,300,100,738.6466666666666,762.5,1.0,408.7,767.82,1039.42,1.0,1.0,1.0,408.7,2332.495965202865
product_time_bucket,OXYGEN_SHAKE_GARLIC,OXYGEN,tick_index,bucket_3_width_200,3.0,,long,1000,600,200,406.2083333333333,410.0,1.0,410.66,364.49,443.475,1.0,1.0,1.0,364.49,2332.2238676887378
product_time_bucket,SLEEP_POD_POLYESTER,SLEEP,tick_index,bucket_8_width_100,8.0,,long,1000,300,100,495.6066666666667,460.0,1.0,643.09,435.53,408.2,1.0,1.0,1.0,408.2,2329.6424100704908
product_time_bucket,UV_VISOR_ORANGE,UV,tick_index,bucket_65_width_100,65.0,,short,1000,300,100,517.96,491.0,1.0,404.32,491.2,658.36,1.0,1.0,1.0,404.32,2307.4988222432653
product_time_bucket,UV_VISOR_ORANGE,UV,tick_index,bucket_32_width_200,32.0,,short,1000,600,200,442.1816666666667,436.0,1.0,357.17,413.385,555.99,1.0,1.0,1.0,357.17,2285.38615276794
product_time_bucket,PEBBLES_M,PEBBLES,tick_index,bucket_79_width_100,79.0,,long,1000,300,100,419.62333333333333,425.0,1.0,401.39,460.28,397.2,1.0,1.0,1.0,397.2,2266.8641971582533
product_time_bucket,MICROCHIP_TRIANGLE,MICROCHIP,tick_index,bucket_17_width_100,17.0,,short,500,300,100,407.01666666666665,406.5,1.0,421.73,403.17,396.15,1.0,1.0,1.0,396.15,2260.8717313802667
product_time_bucket,PANEL_1X2,PANEL,tick_index,bucket_2_width_100,2.0,,short,1000,300,100,486.93666666666667,474.0,1.0,586.61,395.19,479.01,1.0,1.0,1.0,395.19,2255.3929055261083
product_time_bucket,MICROCHIP_SQUARE,MICROCHIP,tick_index,bucket_16_width_500,16.0,,short,1000,1500,500,541.738,490.0,0.9386666666666666,326.714,651.47,647.03,1.0,0.816,1.0,326.714,2242.99020334193
product_time_bucket,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,tick_index,bucket_64_width_100,64.0,,long,1000,300,100,433.69,434.5,1.0,391.48,510.34,399.25,1.0,1.0,1.0,391.48,2234.2195264438897
product_time_bucket,OXYGEN_SHAKE_GARLIC,OXYGEN,tick_index,bucket_7_width_100,7.0,,long,500,300,100,442.44,452.0,1.0,390.31,487.02,449.99,1.0,1.0,1.0,390.31,2227.5422074341336
product_time_bucket,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,tick_index,bucket_63_width_100,63.0,,long,1000,300,100,467.86,492.0,1.0,389.84,525.04,488.7,1.0,1.0,1.0,389.84,2224.8598656097015
product_time_bucket,PEBBLES_XL,PEBBLES,tick_index,bucket_88_width_100,88.0,,short,500,300,100,737.81,748.0,1.0,992.85,389.47,831.11,1.0,1.0,1.0,389.47,2222.7482348117446
product_time_bucket,PEBBLES_XS,PEBBLES,tick_index,bucket_3_width_500,3.0,,short,1000,1500,500,387.80533333333335,394.0,1.0,302.66,557.07,303.686,1.0,1.0,1.0,302.66,2213.6209884621835
product_time_bucket,PEBBLES_XS,PEBBLES,tick_index,bucket_14_width_200,14.0,,short,1000,600,200,468.7083333333333,448.0,1.0,421.055,344.6,640.47,1.0,1.0,1.0,344.6,2204.9558144408325
product_time_bucket,SLEEP_POD_POLYESTER,SLEEP,tick_index,bucket_5_width_200,5.0,,long,1000,600,200,536.3783333333333,590.5,1.0,651.09,613.615,344.43,1.0,1.0,1.0,344.43,2203.8680533019615
