feature_col,importance,source_product,feature
PANEL_2X4__mid_centered,15.426607,PANEL_2X4,mid_centered
OXYGEN_SHAKE_CHOCOLATE__mid_centered,14.961014,OXYGEN_SHAKE_CHOCOLATE,mid_centered
PEBBLES_XS__group_mid_rank,14.929628,PEBBLES_XS,group_mid_rank
MICROCHIP_CIRCLE__mid_centered,14.927023,MICROCHIP_CIRCLE,mid_centered
GALAXY_SOUNDS_BLACK_HOLES__group_mid_rank,14.895021,GALAXY_SOUNDS_BLACK_HOLES,group_mid_rank
PANEL_4X4__mid_centered,14.603324,PANEL_4X4,mid_centered
SLEEP_POD_SUEDE__mid_centered,14.549256,SLEEP_POD_SUEDE,mid_centered
SLEEP_POD_NYLON__group_residual_z,14.515551,SLEEP_POD_NYLON,group_residual_z
SNACKPACK_STRAWBERRY__group_residual_z,14.4952545,SNACKPACK_STRAWBERRY,group_residual_z
TRANSLATOR_ECLIPSE_CHARCOAL__group_mid_rank,14.494015,TRANSLATOR_ECLIPSE_CHARCOAL,group_mid_rank
TRANSLATOR_GRAPHITE_MIST__group_residual_z,14.433321,TRANSLATOR_GRAPHITE_MIST,group_residual_z
UV_VISOR_RED__mid_centered,14.398266,UV_VISOR_RED,mid_centered
SLEEP_POD_POLYESTER__mid_centered,14.373044,SLEEP_POD_POLYESTER,mid_centered
TRANSLATOR_ASTRO_BLACK__mid_centered,14.323465,TRANSLATOR_ASTRO_BLACK,mid_centered
SNACKPACK_PISTACHIO__group_residual_z,14.315416,SNACKPACK_PISTACHIO,group_residual_z
SNACKPACK_PISTACHIO__mid_centered,14.29804,SNACKPACK_PISTACHIO,mid_centered
MICROCHIP_RECTANGLE__mid_centered,14.176769,MICROCHIP_RECTANGLE,mid_centered
MICROCHIP_TRIANGLE__mid_centered,14.132286,MICROCHIP_TRIANGLE,mid_centered
SNACKPACK_VANILLA__group_mid_rank,14.084378,SNACKPACK_VANILLA,group_mid_rank
PEBBLES_XS__ret50,14.0775585,PEBBLES_XS,ret50
ROBOT_VACUUMING__group_mid_rank,14.010686,ROBOT_VACUUMING,group_mid_rank
PEBBLES_S__group_residual_z,14.003814,PEBBLES_S,group_residual_z
PEBBLES_S__mid_centered,13.976808,PEBBLES_S,mid_centered
TRANSLATOR_VOID_BLUE__mid_centered,13.971431,TRANSLATOR_VOID_BLUE,mid_centered
MICROCHIP_TRIANGLE__group_mid_rank,13.970099,MICROCHIP_TRIANGLE,group_mid_rank
ROBOT_MOPPING__mid_centered,13.960463,ROBOT_MOPPING,mid_centered
SLEEP_POD_POLYESTER__group_mid_rank,13.956533,SLEEP_POD_POLYESTER,group_mid_rank
TRANSLATOR_SPACE_GRAY__group_mid_rank,13.952036,TRANSLATOR_SPACE_GRAY,group_mid_rank
UV_VISOR_AMBER__mid_centered,13.931284,UV_VISOR_AMBER,mid_centered
ROBOT_DISHES__mid_centered,13.917086,ROBOT_DISHES,mid_centered
OXYGEN_SHAKE_MINT__mid_centered,13.890408,OXYGEN_SHAKE_MINT,mid_centered
UV_VISOR_ORANGE__group_mid_rank,13.889367,UV_VISOR_ORANGE,group_mid_rank
TRANSLATOR_GRAPHITE_MIST__mid_centered,13.884058,TRANSLATOR_GRAPHITE_MIST,mid_centered
ROBOT_IRONING__group_residual_z,13.877932,ROBOT_IRONING,group_residual_z
UV_VISOR_MAGENTA__mid_centered,13.871191,UV_VISOR_MAGENTA,mid_centered
GALAXY_SOUNDS_PLANETARY_RINGS__spread,13.869393,GALAXY_SOUNDS_PLANETARY_RINGS,spread
OXYGEN_SHAKE_MORNING_BREATH__mid_centered,13.866178,OXYGEN_SHAKE_MORNING_BREATH,mid_centered
ROBOT_LAUNDRY__mid_centered,13.839224,ROBOT_LAUNDRY,mid_centered
GALAXY_SOUNDS_DARK_MATTER__mid_centered,13.836832,GALAXY_SOUNDS_DARK_MATTER,mid_centered
MICROCHIP_CIRCLE__group_mid_rank,13.832629,MICROCHIP_CIRCLE,group_mid_rank
TRANSLATOR_VOID_BLUE__group_mid_rank,13.804434,TRANSLATOR_VOID_BLUE,group_mid_rank
SNACKPACK_VANILLA__group_residual_z,13.794529,SNACKPACK_VANILLA,group_residual_z
PANEL_1X2__group_residual_z,13.793655,PANEL_1X2,group_residual_z
PEBBLES_L__group_residual_z,13.781114,PEBBLES_L,group_residual_z
PANEL_2X4__group_residual_z,13.776346,PANEL_2X4,group_residual_z
OXYGEN_SHAKE_EVENING_BREATH__group_mid_rank,13.775864,OXYGEN_SHAKE_EVENING_BREATH,group_mid_rank
