split,feature_col,importance,source_product,feature
d23_to_d4,MICROCHIP_SQUARE__mid_centered,0.019317974078912552,MICROCHIP_SQUARE,mid_centered
d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS__group_residual_z,0.018222758487016728,GALAXY_SOUNDS_SOLAR_WINDS,group_residual_z
d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH__mid_centered,0.017748871170736417,OXYGEN_SHAKE_MORNING_BREATH,mid_centered
d23_to_d4,GALAXY_SOUNDS_BLACK_HOLES__group_residual_z,0.01615379571239944,GALAXY_SOUNDS_BLACK_HOLES,group_residual_z
d23_to_d4,GALAXY_SOUNDS_SOLAR_FLAMES__mid_centered,0.015487175064214143,GALAXY_SOUNDS_SOLAR_FLAMES,mid_centered
d23_to_d4,PANEL_1X4__mid_centered,0.015215211243731703,PANEL_1X4,mid_centered
d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH__group_mid_rank,0.015130927598010473,OXYGEN_SHAKE_MORNING_BREATH,group_mid_rank
d23_to_d4,TRANSLATOR_ECLIPSE_CHARCOAL__mid_centered,0.01321030506187385,TRANSLATOR_ECLIPSE_CHARCOAL,mid_centered
d23_to_d4,GALAXY_SOUNDS_SOLAR_FLAMES__group_residual_z,0.01271638683930268,GALAXY_SOUNDS_SOLAR_FLAMES,group_residual_z
d23_to_d4,SLEEP_POD_SUEDE__group_residual_z,0.012613798891926969,SLEEP_POD_SUEDE,group_residual_z
d23_to_d4,PANEL_2X4__mid_centered,0.011894895437998014,PANEL_2X4,mid_centered
d23_to_d4,ROBOT_MOPPING__group_residual_z,0.011892240997794571,ROBOT_MOPPING,group_residual_z
d23_to_d4,PEBBLES_XS__group_residual_z,0.011835270034624439,PEBBLES_XS,group_residual_z
d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS__group_mid_rank,0.011472771201000691,GALAXY_SOUNDS_SOLAR_WINDS,group_mid_rank
d23_to_d4,PANEL_1X2__mid_centered,0.01139122832301409,PANEL_1X2,mid_centered
d23_to_d4,ROBOT_VACUUMING__group_mid_rank,0.010520143889672892,ROBOT_VACUUMING,group_mid_rank
d23_to_d4,UV_VISOR_ORANGE__group_residual_z,0.010418827779375453,UV_VISOR_ORANGE,group_residual_z
d23_to_d4,PEBBLES_L__mid_centered,0.010369334797813597,PEBBLES_L,mid_centered
d23_to_d4,OXYGEN_SHAKE_GARLIC__group_residual_z,0.010130463606800871,OXYGEN_SHAKE_GARLIC,group_residual_z
d23_to_d4,PANEL_2X2__mid_centered,0.010021239508596761,PANEL_2X2,mid_centered
d23_to_d4,PANEL_2X2__group_residual_z,0.009953910912419683,PANEL_2X2,group_residual_z
d23_to_d4,OXYGEN_SHAKE_GARLIC__mid_centered,0.009884605859193709,OXYGEN_SHAKE_GARLIC,mid_centered
d23_to_d4,UV_VISOR_MAGENTA__group_residual_z,0.009695337372703654,UV_VISOR_MAGENTA,group_residual_z
d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS__mid_centered,0.009644234232902118,GALAXY_SOUNDS_SOLAR_WINDS,mid_centered
d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS__group_residual_z,0.009612697705258242,GALAXY_SOUNDS_PLANETARY_RINGS,group_residual_z
d23_to_d4,TRANSLATOR_SPACE_GRAY__group_residual_z,0.009445231584094084,TRANSLATOR_SPACE_GRAY,group_residual_z
d23_to_d4,TRANSLATOR_ASTRO_BLACK__group_residual_z,0.009413680797095468,TRANSLATOR_ASTRO_BLACK,group_residual_z
