split,feature_scope,feature,importance
d2_to_d3,context,group_imbalance_mean,1.6524501916137524e-05
d2_to_d3,context,group_micro_mean,1.4282910342444666e-05
d2_to_d3,context,group_ret50_mean,1.3291267350723501e-05
d2_to_d3,context,group_ret10_mean,1.2279273505555466e-05
d2_to_d3,context,market_ret10_mean,7.703985829721205e-06
d2_to_d3,context,market_imbalance_mean,4.847814125241712e-06
d2_to_d3,own_sequence,mid_centered,2.5547030872985488e-06
d2_to_d3,own_sequence,group_mid_rank,1.1736127589756506e-06
d2_to_d3,own_sequence,group_micro_rank,9.379517678098637e-07
d2_to_d3,own_sequence,group_residual_z,8.881025905793649e-07
d2_to_d3,own_sequence,imbalance1,6.454686172219226e-07
d2_to_d3,own_sequence,ret1,6.208073273228365e-07
d2_to_d3,own_sequence,ret100,4.94065545808553e-07
d2_to_d3,own_sequence,vol50,4.0131442347046686e-07
d2_to_d3,own_sequence,spread,3.4245584856762434e-07
d2_to_d3,own_sequence,ou_z100,2.692461009701219e-07
d2_to_d3,own_sequence,ret50,2.2880590222484898e-07
d2_to_d3,own_sequence,suffix1000,2.2451325776273734e-07
d2_to_d3,own_sequence,ret10,2.0818521306864568e-07
d2_to_d3,own_sequence,ret5,1.9466642697807401e-07
d2_to_d3,own_sequence,imbalance3,1.612248183846532e-07
d2_to_d3,own_sequence,dist_max100,1.4303375905910798e-07
d2_to_d3,own_sequence,suffix100,1.4097848577421246e-07
d2_to_d3,own_sequence,dist_min100,1.3972379520055256e-07
d2_to_d3,own_sequence,ret20,1.1762912066615172e-07
d2_to_d3,own_sequence,micro_minus_mid,9.342699058834114e-08
d3_to_d4,context,group_ret50_mean,1.175040324596921e-05
d3_to_d4,context,group_ret10_mean,9.137083907262422e-06
d3_to_d4,context,market_ret10_mean,8.036546205403283e-06
d3_to_d4,context,group_micro_mean,6.8895460572093725e-06
d3_to_d4,context,market_imbalance_mean,6.361244231811725e-06
d3_to_d4,own_sequence,mid_centered,4.992406502424274e-06
d3_to_d4,context,group_imbalance_mean,3.162205075568636e-06
d3_to_d4,own_sequence,vol50,1.1368837249392527e-06
d3_to_d4,own_sequence,group_micro_rank,1.1359583140801988e-06
d3_to_d4,own_sequence,spread,1.0668393315427238e-06
d3_to_d4,own_sequence,ou_z100,1.0269691301800776e-06
d3_to_d4,own_sequence,group_mid_rank,9.916871022142004e-07
d3_to_d4,own_sequence,suffix1000,9.706900527817197e-07
d3_to_d4,own_sequence,micro_minus_mid,8.51628783493652e-07
d3_to_d4,own_sequence,dist_max100,6.923725663909863e-07
d3_to_d4,own_sequence,ret1,6.611390972466324e-07
d3_to_d4,own_sequence,ret50,6.59876150166383e-07
d3_to_d4,own_sequence,ret5,6.26903442935145e-07
d3_to_d4,own_sequence,ret10,5.287487283567316e-07
d3_to_d4,own_sequence,group_residual_z,5.266268203740765e-07
d3_to_d4,own_sequence,imbalance1,5.207657522987574e-07
d3_to_d4,own_sequence,imbalance3,4.966376536685857e-07
d3_to_d4,own_sequence,dist_min100,4.792982508661225e-07
d3_to_d4,own_sequence,ret20,4.447854280442698e-07
d3_to_d4,own_sequence,suffix100,2.9721576311203535e-07
d3_to_d4,own_sequence,ret100,1.8193981077274657e-07
d23_to_d4,context,market_imbalance_mean,1.6408899682573974e-05
d23_to_d4,context,group_ret10_mean,1.515725307399407e-05
d23_to_d4,context,group_ret50_mean,1.2744174455292523e-05
d23_to_d4,context,market_ret10_mean,9.979712558561005e-06
d23_to_d4,context,group_imbalance_mean,8.77799993759254e-06
d23_to_d4,context,group_micro_mean,3.184937668265775e-06
d23_to_d4,own_sequence,spread,2.9613124752359e-06
d23_to_d4,own_sequence,group_residual_z,1.687443045739201e-06
d23_to_d4,own_sequence,mid_centered,1.3590644130090368e-06
d23_to_d4,own_sequence,group_mid_rank,1.1525653462740593e-06
d23_to_d4,own_sequence,group_micro_rank,9.857433269644389e-07
d23_to_d4,own_sequence,suffix100,6.37166863270977e-07
d23_to_d4,own_sequence,imbalance1,6.08383743383456e-07
d23_to_d4,own_sequence,suffix1000,5.561096259043552e-07
d23_to_d4,own_sequence,ou_z100,5.509417633220437e-07
d23_to_d4,own_sequence,micro_minus_mid,4.436028007148707e-07
d23_to_d4,own_sequence,ret1,4.077226094523212e-07
d23_to_d4,own_sequence,ret10,3.854160013361252e-07
d23_to_d4,own_sequence,vol50,3.460675941369118e-07
d23_to_d4,own_sequence,ret100,3.386793991921877e-07
d23_to_d4,own_sequence,imbalance3,3.375637902536255e-07
d23_to_d4,own_sequence,ret50,2.9597293860206264e-07
d23_to_d4,own_sequence,dist_min100,2.7612543362920405e-07
d23_to_d4,own_sequence,ret5,2.1168320074593794e-07
d23_to_d4,own_sequence,ret20,2.042075664121512e-07
d23_to_d4,own_sequence,dist_max100,1.4222571564914688e-07
