name,day2,day3,day4,total
base_v13,442320,404832,508464,1355616
microchip_square_short_only,393710,336704,550904,1281318
pebbles_s_short_only,433428,400418,492155,1326002
panel_1x4_short_only,414473,423000,494322,1331795
oxygen_chocolate_long_only,428390,392242,518568,1339200
oxygen_evening_long_only,422769,406560,496438,1325766
snack_chocolate_short_only,441864,402390,507553,1351808
panel_2x4_long_size2,441908,405012,507914,1354834
panel_2x4_long_size5,442358,405012,507064,1354434
oxygen_garlic_long_size2,442277,403846,508680,1354804
oxygen_garlic_long_size5,441534,403732,508434,1353700
add_pebbles_m_long_only,434050,423046,504288,1361384
add_translator_space_gray_short_only,447335,397392,525994,1370720
